Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1980,1.47,0.63,0.93,0.54,1.15,-1.4,-1.09,-0.48,-0.39,-0.29,-0.4,-2.53
1981,-1.37,-0.8,1.1,-1.55,1.04,-0.6,0.75,0.41,-0.49,0.49,-0.79,0.28
1982,0.34,-0.36,-0.03,-0.58,0.77,0.74,0.36,0.24,1.07,0.28,0.55,0.65
1983,-0.73,-0.12,1.51,0.9,1.12,1.34,-0.04,-0.18,-1.21,-0.54,1.62,1.24
1984,-0.25,0.07,0.93,1.1,-0.89,0.78,0.4,0.89,-0.15,1.83,-0.52,0.49
1985,0.43,-0.16,0.22,0.44,-0.05,-0.51,1.06,-1.27,1.29,0.59,1.59,0.2
1986,-1.81,0.5,-1.17,0.44,-0.23,0.45,0.59,0.18,0.86,0.99,1.01,-0.34
1987,0.39,1.18,0.59,-1.09,0.78,0.13,-0.38,0.86,-0.43,-0.47,0.77,0.79
1988,0.94,-0.43,-0.13,-0.27,0.3,-0.11,-0.62,-0.33,0.67,-1.41,0.32,0.29
1989,0.27,0.7,-0.97,-1.34,-0.75,0.5,-0.38,0.28,0.27,-0.41,-1.01,-0.17
1990,0.36,0.19,0.67,-0.06,0.35,-1.2,1.27,-0.05,0.36,0.46,0.49,-0.17
1991,-0.12,-1.48,0.59,-0.25,-0.39,0.52,0.81,0.62,0.08,-0.21,1.71,-0.18
1992,0.06,-0.64,0.57,-1.53,-0.22,0.87,0.94,1.07,-0.74,-0.75,1.32,0.17
1993,0.64,1.27,0.32,0.28,0.23,0.26,-0.63,0.94,0.39,0.98,1,-0.61
1994,-0.02,0.04,-0.67,0.61,-0.66,-0.88,-1.08,-0.02,-0.23,0.87,1,-0.62
1995,0.3,-0.3,0.55,1.04,2.04,1.44,0.25,-0.98,0.66,-0.42,-0.42,-0.89
1996,0.91,0.1,0.06,-0.39,-0.4,0.09,-0.01,-0.35,1.12,0.29,0.53,0.01
1997,0.87,0.22,-1.26,1.06,0,0.62,-0.09,1.44,0.66,1.1,0.62,0.11
1998,-0.52,0.14,0.6,0.42,-1.06,0.12,1.15,-0.13,-1.11,1.02,0.44,-0.48
1999,0.15,-1.09,-1.15,1.75,0.99,0.47,0.3,1.3,0.42,-0.8,-1.7,-0.33
2000,0.35,-0.3,1.04,-0.63,-1.06,-0.57,-0.88,-0.42,-0.11,0.28,0.39,-0.27
2001,0.52,0.22,0.08,-0.31,0.22,-0.84,-0.3,0.01,-0.56,-0.75,0.08,-0.57
2002,-0.22,-0.81,-0.23,-1.71,-1.37,-1.62,-1.6,-0.71,0.73,0.78,0.21,-0.75
2003,-1.05,0.8,0.96,-0.2,-0.28,0.62,-1.92,-0.48,0.31,-1.64,0.51,-0.13
2004,-0.04,0.55,-1.56,0.87,-1.3,0.47,0.47,0.15,0.64,0.23,1.11,-0.42
2005,1.11,-0.22,0.16,0.31,-0.46,0.72,-1.49,0.39,-0.36,0.91,-0.5,-0.11
2006,-0.26,-0.92,0.35,-1.26,-1.36,-1.3,0.43,0.7,1.24,1.41,-0.54,1.19
2007,0.52,0.02,-0.75,0.38,0.04,-0.54,-0.45,0.02,0.19,-0.26,-1.3,1.74
2008,0.51,0.58,-0.26,-0.06,-0.08,-0.45,-0.97,0.76,-0.01,0.01,-0.6,0.87
2009,-0.19,-0.67,-0.36,0.82,-0.18,1.23,0.17,-0.66,0.17,1.35,-0.74,0.54
2010,-0.26,0.5,0.53,0.41,-0.05,-0.46,0.03,0.43,-1.32,-0.2,0.07,0.34
2011,-0.3,0.47,-0.43,0.34,0.8,-0.8,0.16,-1.05,-0.05,0.47,0.09,0.13
2012,-0.78,0.76,-1.81,-0.86,-1.33,-2.09,-0.26,-1.36,-0.26,-0.43,-1.42,0.29
2013,-0.25,0.1,-0.16,0.37,-0.39,-1.6,0.16,0.16,1.75,0.51,0.14,-0.46
2014,0.39,0.33,-0.25,-0.16,0.25,-0.47,0.54,0.78,0.5,-0.34,0.36,0.68
2015,-0.32,0.61,-1.04,0.09,2.15,0.02,0.6,-0.48,-1.24,0.15,0.94,0.65
2016,0,0.07,-0.32,0.94,0.44,-0.9,-0.46,0.39,-0.59,-1.49,-0.78,0.78
2017,-0.05,-0.76,-0.83,0.42,0.78,-1.2,-0.36,-0.53,-1.28,1.14,0.1,-0.48
2018,0.92,0.32,-0.72,-0.36,-1.04,0.53,-0.72,-0.84,-1.36,0.47,0.39,0.28
2019,-0.56,0.72,1.53,-0.6,1.29,0.58,-0.67,-0.8,-1.32,0.49,-0.7,0.15
2020,-0.56,0.27,-0.3,-0.78,-1.12,-0.7,-0.52,-1.92,-0.43,-0.56,-0.84,0.17
2021,-0.11,0.29,0.79,-0.49,0.53,-9999,-9999,-9999,-9999,-9999,,
