Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1980,1.78,1.16,1.07,-0.62,1.25,-1.32,-0.47,0.37,-0.45,0.25,-0.83,-1.64
1981,-1.63,-0.83,0.84,-1.26,1.8,-0.39,0.53,-0.63,-0.64,1.88,-0.78,0.66
1982,0.89,-1.23,0.61,0.1,0.64,0.03,0.63,-0.36,1.58,0.66,1.22,0.16
1983,-0.92,-0.02,1.07,1.14,1.49,1.44,1.19,0,-0.8,0.27,2.25,2.01
1984,-0.76,-0.79,0.95,1.4,-0.82,1.8,1.21,1.08,0.66,1.34,-0.07,0.7
1985,0.18,-0.81,0.88,0.86,-0.59,0.01,1.41,-1.21,0.97,1.04,2.29,0.31
1986,-1.27,1.28,-0.58,0.69,0.04,-0.24,1.79,0.33,1.47,0.81,0.52,-1.23
1987,-0.25,0.18,0.72,-1.41,0.36,-0.43,1.15,1.17,-1.2,-0.45,0.65,0.84
1988,0.78,-0.91,0.15,-0.39,0.04,-1.08,-1.47,-0.46,0.64,-1.96,1.04,0.13
1989,-0.45,1.14,-0.7,-1.78,-1.14,-0.18,-0.37,0.16,-0.15,-0.7,-0.51,-0.5
1990,-1.03,0.71,-0.3,-0.87,-0.45,-0.07,0.43,-1.03,-0.77,0.58,0.23,0.04
1991,-0.01,-1.34,1.09,0.32,-0.31,0.3,0.71,0.27,0.08,-0.29,1,-0.98
1992,-0.75,0.11,-0.4,-1.4,0.44,0.08,1.94,-0.4,-0.15,-0.65,1.16,0.16
1993,1.14,0.84,1.08,1.19,0.26,0.62,0.15,0.51,-0.11,1.17,0.72,-0.68
1994,-1.17,0.39,-1.27,-0.01,-1.51,-1.1,-1.56,-0.35,-0.41,0.87,1.27,-0.69
1995,0.31,-0.15,-0.12,0.9,2.6,1.14,0.85,-1.18,0.62,0.24,-0.24,-0.92
1996,1.51,1.2,-0.72,0.43,-0.12,-0.52,-0.71,-1.61,0.6,0.93,1.4,0.84
1997,1.58,-0.74,-1.28,1.6,0.5,0.07,-0.35,1.72,2.1,0.77,-0.05,-0.78
1998,0.15,0.71,1.11,0.03,-0.93,1.88,0.33,-0.82,-1.47,1.15,-0.09,-0.47
1999,0.59,0.17,-1.69,1.84,0.82,0.13,0.35,0.7,0.02,-1.36,-1.78,-0.13
2000,0.55,1.01,0.05,-0.84,-0.52,-0.62,-1.37,-0.79,0.76,-0.8,0.61,0.1
2001,-0.54,0.19,-0.7,-0.26,-0.73,-1.16,-0.99,0.05,-1.24,-0.58,-0.01,-0.57
2002,-0.68,-1.31,0.41,-1.35,-1.65,-1.84,-1.49,-0.68,0.49,0.6,0.48,-0.82
2003,-0.68,0.83,0.41,-0.21,-0.15,0.18,-2.39,-1.22,0.03,-1.88,1.69,0.53
2004,-0.63,0.01,-1.82,-0.04,-0.91,-0.01,-0.21,-0.01,1,0.8,1.02,-0.63
2005,1.2,0.7,0.08,-0.1,-0.05,1.78,-1.55,-0.02,0.23,0.36,0.5,0.31
2006,0.42,-1.03,0.99,-0.97,-1.37,-1.68,-0.9,0.58,1.36,1.74,-0.39,-0.42
2007,0.03,0.47,-1.09,-1.18,-0.65,-1.08,-1.3,-0.36,1.26,0.54,-1.74,2.03
2008,1.03,0.65,0.21,0.12,0.66,0.17,-1.58,-0.65,0.49,-0.66,-0.51,1.29
2009,0.98,-0.71,0.12,0.81,-0.2,1.61,-0.3,-0.78,-0.91,0.9,-0.69,0.73
2010,-0.52,-0.21,-0.33,1,0.83,0.25,-0.66,0.69,-1.59,0.69,1.13,1.82
2011,-0.57,0.55,0.76,1.53,1.32,-0.22,1.33,-1.24,-0.38,0.26,0.59,-1.46
2012,-0.73,0.88,-2.05,-1.56,-1.79,-2.21,-0.11,-1.79,-0.78,-0.65,-1.38,1.15
2013,-0.04,-0.61,-0.72,1.18,-0.46,-1.92,-0.62,-1.03,1.45,1.27,0.4,0.28
2014,0.25,-0.47,-0.12,-0.32,0.1,-0.87,-0.63,2.2,0.57,-0.63,0.42,0.35
2015,-1.43,-1.34,-1.38,-0.43,2.02,-1.24,1.01,-0.97,-0.83,-0.98,1.02,0.93
2016,0.55,-0.53,0.33,0.72,1,-1.9,-0.89,-1.02,0.05,-0.92,-0.77,0.58
2017,-0.23,0.65,-1.83,-0.04,0.04,-1.82,-1.99,-0.33,-2.39,1.06,0.08,-0.37
2018,0.78,0.22,-0.32,-0.28,-1.39,1.01,-1.67,-1.67,-1.04,0.47,0.12,0.77
2019,0.2,0.77,1.51,-0.33,1.38,1.05,-1.54,-1.59,-0.98,0.58,-0.92,-0.22
2020,0.2,0.49,-0.16,-0.47,-1.08,-0.37,-1.44,-2.99,-1.25,-1.04,-1.6,-0.13
2021,-0.76,0.18,0.02,-1.04,-0.9,-9999,-9999,-9999,-9999,-999,,
