Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1980,0.75,1.84,2.45,1.77,2.65,1.86,1.15,0.9,0,0.3,-0.44,-1.7
1981,-2.78,-3.49,-3.3,-3.9,-1.99,-2,-2.2,-2.33,0,1.84,1.82,2.69
1982,3.36,2.89,3.23,2.88,3,2.62,2.32,2.13,0,4.02,4.57,4.41
1983,3.81,3.6,4.02,4.4,5.22,6.01,6.77,6.78,0,5.57,6.64,8.06
1984,7.43,6.75,6.88,7.28,6.12,7.05,7.42,7.65,0,7.6,7.13,7.13
1985,6.73,5.97,6,6.05,5.05,4.59,5.23,4.1,0,4.13,5.47,5.38
1986,4.66,5.16,4.59,4.59,4.08,3.79,4.8,4.65,0,5.28,5.19,4.31
1987,3.75,3.43,3.56,2.13,2.04,1.45,2.11,2.46,0,0.45,0.54,0.84
1988,1.25,0.94,1.02,0.56,0.47,-0.26,-1.29,-1.59,0,-2.97,-2.32,-2.15
1989,-2.26,-1.3,-1.51,-2.66,-3.43,-3.83,-3.21,-3.06,0,-3.73,-3.78,-3.86
1990,-4.26,-4.01,-4,-4.28,-4.52,-4.4,-3.63,-3.93,0,-3.71,-3.21,-2.88
1991,-2.59,-2.87,-1.87,-1.52,-1.64,-1.43,-0.19,0.17,0,-0.96,-0.25,-0.69
1992,-1.23,-1.26,-1.41,-2.34,-1.81,-2,0.09,-0.1,0,-1.13,-0.46,-0.38
1993,0.47,1.06,1.86,2.85,3.04,3.17,3.19,3.09,0,2.63,2.98,2.56
1994,1.93,1.94,0.9,0.6,-1.19,-2.21,-3,-2.97,0,-2.29,-0.97,-1.02
1995,-0.51,-0.38,-0.23,0.68,4.6,5.1,5.83,5.12,0,4.39,3.89,3.07
1996,3.48,3.81,3.09,2.92,2.49,1.69,1.49,0.01,0,0.34,1.82,2.31
1997,3.38,3.07,2.25,3.36,3.51,3.45,3.3,4.18,0,5.97,5.62,4.95
1998,4.67,4.63,4.95,4.39,3.23,4.47,5.07,4.33,0,3.54,3.27,2.8
1999,2.8,2.64,1.36,3.07,3.36,3.22,3.54,3.66,0,1.38,-0.62,-1.52
2000,-1.74,-1.37,-1.31,-1.9,-2.25,-2.91,-3.03,-3.08,0,-3.21,-2.76,-2.61
2001,-2.85,-2.69,-2.88,-2.88,-3.21,-3.86,-3.28,-2.93,0,-4.17,-3.91,-4.01
2002,-4.23,-4.69,-4.46,-4.96,-5.84,-6.77,-6.9,-6.83,0,-5.39,-4.81,-4.66
2003,-4.58,-3.92,-3.33,-3.16,-2.99,-2.9,-2.96,-3.23,0,-4.64,-3.29,-2.65
2004,-2.58,-2.23,-3.03,-2.94,-3.38,-3.42,-2.88,-2.85,0,-1.18,-0.04,-0.14
2005,0.9,1.77,1.99,1.71,1.59,3.26,3.13,2.8,0,2.17,2.29,2.14
2006,1.99,0.91,1.27,0.35,-1.04,-2.69,-2.88,-2.46,0,1.69,1.71,1.54
2007,1.71,2.07,1.34,0.17,-0.51,-1.87,-2.21,-2.19,0,-0.39,-1.46,1.01
2008,2.03,2.56,2.68,2.4,2.61,2.6,1.93,1.22,0,0.09,-0.61,-0.08
2009,0.53,0.24,0.3,0.89,0.71,2.23,2.6,1.79,0,1.01,0.59,0.8
2010,0.34,0.03,-0.24,0.59,1.13,1.43,1.85,2.18,0,0.63,1.39,3.23
2011,3.01,3.3,3.68,4.72,5.24,4.91,5.69,4.91,0,3.63,3.51,2.49
2012,1.48,1.29,-1.12,-2.9,-4.31,-5.68,-5.22,-5.69,0,-6.08,-6.43,-5.5
2013,-5.27,-5.24,-5.31,-4.01,-3.87,-4.51,-4.35,-4.49,0,-1.43,-0.58,0.18
2014,0.84,0.88,0.99,0.57,0.52,-0.28,-0.31,1.88,0,1.31,1.34,1.3
2015,0.33,-0.78,-1.87,-2.33,0.31,-0.03,0.48,-0.11,0,-1.46,-0.8,0.05
2016,0.62,0.57,1.01,1.6,2.44,1.72,0.74,-0.33,0,-1.17,-1.83,-1.74
2017,-0.61,0.04,-1.02,-1.21,-1.28,-2.22,-5.11,-4.96,0,-2.52,-2.99,-3.43
2018,-3.66,-3.67,-3.75,-3.71,-4.37,-5.29,2.68,1.65,0,-5.31,-4.79,-4.56
2019,-3.82,-2.91,-1.15,-1.12,1.07,2.81,3.82,-3.26,0,0.86,0.63,0.94
2020,1.02,1.24,1.19,0.62,-0.26,-0.66,-1.37,-5.97,0,-4.3,-4.54,-4.52
2021,-4.71,-4.66,-4.46,-4.78,-5.06,-9999,-9999,-9999,-9999,,,
