Date,f14_Maybell_maxt,f14_Maybell_mint,f14_Maybell_pcpn,f14_Maybell_snow
1980-02,37,7.9,1.79,12
1980-03,46,19.5,2.39,42
1980-04,60.7,25.1,1.49,8.5
1980-05,M,M,2.72,0
1980-06,M,M,M,M
1980-07,M,M,M,M
1980-08,M,M,M,M
1980-09,M,M,M,M
1980-10,M,M,M,M
1980-11,M,M,M,M
1980-12,M,M,M,M
1981-01,M,M,M,M
1981-02,M,M,M,M
1981-03,M,M,M,M
1981-04,M,M,M,M
1981-05,M,M,M,M
1981-06,M,M,M,M
1981-07,M,M,M,M
1981-08,M,M,M,M
1981-09,M,M,M,M
1981-10,M,M,M,M
1981-11,M,M,M,M
1981-12,M,M,M,M
1982-01,M,M,M,M
1982-02,M,M,M,M
1982-03,M,M,M,M
1982-04,M,M,M,M
1982-05,M,M,M,M
1982-06,M,M,M,M
1982-07,M,M,M,M
1982-08,M,M,M,M
1982-09,M,M,M,M
1982-10,M,M,M,M
1982-11,M,M,M,M
1982-12,M,M,M,M
1983-01,M,M,M,M
1983-02,M,M,M,M
1983-03,46.6,20.5,0.29,4.5
1983-04,55.2,24.6,0.67,M
1983-05,62.4,29.9,2.28,0
1983-06,74.7,37.8,1.04,0
1983-07,84.5,45.6,1.69,0
1983-08,88,48.6,0.98,0
1983-09,78.6,33.3,0.71,0
1983-10,62.8,26.3,2.01,0
1983-11,44,15.4,2.18,11
1983-12,27.5,1.9,3.25,26
1984-01,19.1,-14.8,0.71,13
1984-02,28.2,-9,1.01,11.6
1984-03,40.8,13.2,1.48,10.5
1984-04,52.8,23.2,2.19,15.5
1984-05,71.5,32.6,0.48,0
1984-06,75.7,38.4,2.74,0
1984-07,86.2,49.2,1.48,0
1984-08,83.9,45.4,1.72,0
1984-09,73.1,34,1.89,3
1984-10,50.1,22.5,2.63,1.6
1984-11,47,17.4,0.69,0.5
1984-12,31.8,-2.1,1.11,21.5
1985-01,28.4,-3.7,1.08,10
1985-02,31.8,-9.1,0.33,11.7
1985-03,46.6,14.3,1.21,6.8
1985-04,63.5,25.5,3.35,T
1985-05,70.2,32.8,0.68,0
1985-06,81.5,38.8,2.95,0
1985-07,87.2,49.5,2.92,0
1985-08,83.9,40,0.05,0
1985-09,66.7,29.6,0.65,0
1985-10,60.8,22.8,1.94,9
1985-11,43.2,16.7,1.92,22.5
1985-12,33.7,1.6,0.58,9
1986-01,38.5,4.5,0.21,4.5
1986-02,43.1,15.6,0.39,5.5
1986-03,56.5,21.8,1.13,8
1986-04,59.6,28.2,1.49,4
1986-05,67.6,30.5,1.55,3
1986-06,82.6,41.7,1.34,0
1986-07,83.8,46.4,1.88,0
1986-08,86.5,43.7,0.37,0
1986-09,57.5,36.1,2.21,0.3
1986-10,58,28.7,1.24,T
1986-11,46.9,18.1,0.9,7
1986-12,41.3,4.6,0.53,1.5
1987-01,33.9,-5.6,0.91,13.2
1987-02,43.1,15.7,1.07,18.5
1987-03,45.6,14.6,1.55,25.5
1987-04,66.7,25.6,0.22,2.2
1987-05,71.9,35.6,0.42,0
1987-06,80,41.7,0.19,0
1987-07,85.2,44.4,0.97,0
1987-08,81.6,42.1,1.52,0
1987-09,78,31.8,0.1,0
1987-10,68.1,22.9,0.63,0
1987-11,47.3,17.7,0.96,M
1987-12,35.2,1.2,0.92,23.5
1988-01,27.7,-7.6,1.56,26
1988-02,36.8,-0.3,0.28,4
1988-03,46.2,16.7,0.53,11.2
1988-04,63,24.8,0.68,T
1988-05,71.1,33,1.39,1
1988-06,87,46.1,0.48,0
1988-07,90.5,48.3,0.12,0
1988-08,87.2,44.9,0.96,0
1988-09,M,M,M,M
1988-10,70.8,26.1,T,0
1988-11,45.4,20,1.08,3.5
1988-12,34,1.2,0.8,18.5
1989-01,30.8,-6.1,0.3,6.3
1989-02,25.9,-5.3,1.45,27.3
1989-03,52.5,20.1,0.74,4.7
1989-04,64.4,28,0.14,2.5
1989-05,71.5,32.5,0.03,0
1989-06,78.8,40.6,0.6,0
1989-07,91.8,47.1,0.67,0
1989-08,83.8,45.2,0.22,0
1989-09,76.1,35.3,0.68,0
1989-10,64.1,23.7,0.26,0
1989-11,49.9,14.8,0.75,3.5
1989-12,33.8,0.9,0.23,4
1990-01,37.5,7.2,0.23,4.1
1990-02,35.9,2.1,2.12,33.1
1990-03,49.4,21.6,0.87,4.5
1990-04,64.2,29.6,1.12,0
1990-05,68.3,32.8,0.31,T
1990-06,M,M,M,M
1990-07,84,48.2,0.35,0
1990-08,86.3,43.7,0.26,0
1990-09,80.9,40,0.66,0
1990-10,63.5,26.5,2.06,1
1990-11,47.3,15.1,1.96,12
1990-12,28,-6.1,0.98,18.5
1991-01,28.9,-5.6,0.24,7
1991-02,40.3,4.1,0.22,1.8
1991-03,45.4,19.7,1.4,10.8
1991-04,55.4,26,1.03,6.5
1991-05,69.1,33.3,0.4,0
1991-06,80.3,40.9,0.79,0
1991-07,86.6,47.3,0.83,0
1991-08,85.5,47.7,1.02,0
1991-09,74.5,34.7,0.7,0
1991-10,65.3,22.4,1.2,6
1991-11,40.9,14.7,1.1,7
1991-12,31.9,2.3,0.45,5.5
1992-01,30.8,-6.8,0.25,5.5
1992-02,41.7,13.6,0.49,2
1992-03,53.2,23.2,0.89,2
1992-04,66.7,29,0.69,T
1992-05,73.2,39.2,1.22,0
1992-06,78.5,41.2,0.23,0
1992-07,82.2,46.1,2.4,0
1992-08,84.7,44.3,0.36,0
1992-09,76.6,35.4,0.95,0
1992-10,67.9,25.7,1.03,0
1992-11,39.6,13.4,0.95,12
1992-12,31,1.1,0.97,12.3
1993-01,30.2,1,1.21,15.6
1993-02,31,2.7,0.79,10.2
1993-03,47.3,18.2,1.08,0.5
1993-04,55.5,26.4,2.16,5.3
1993-05,70.1,36.2,1.12,0
1993-06,78.6,38.3,0.21,0
1993-07,83.3,41.5,0.53,0
1993-08,83,43.1,0.15,0
1993-09,75.8,32.5,0.38,0
