Date,f15_Meeker_Combined_maxt,f15_Meeker_Combined_mint,f15_Meeker_Combined_pcpn,f15_Meeker_Combined_snow
1980-01,37.8,15.4,1.41,21
1980-02,42.8,18.1,2.22,8.6
1980-03,45.2,20.7,1.82,32.5
1980-04,58.1,27.2,0.55,3.5
1980-05,65,35.9,1.76,0
1980-06,82.1,41.6,0,0
1980-07,86.2,50,1.63,0
1980-08,83.4,46.3,1.43,0
1980-09,76.3,39.3,0.53,0
1980-10,63.3,28.1,1.87,11
1980-11,51.2,20,0.48,0.8
1980-12,50.9,20.1,0.12,1.5
1981-01,46.7,15.5,0.28,7.5
1981-02,46.7,14.4,0.35,10.5
1981-03,49.3,22.1,2.27,31
1981-04,64.7,26.5,0.39,4
1981-05,66.1,35.8,3.02,0
1981-06,82.6,44.4,0.72,0
1981-07,85.4,50.5,1.27,0
1981-08,83.2,45.2,1.3,0
1981-09,78.2,40.6,0.47,0
1981-10,58.6,35,4.37,10
1981-11,50.7,22.3,0.93,13.5
1981-12,42,16.3,1.42,26.5
1982-01,37.6,11.4,0.79,17
1982-02,42.2,11.2,0.29,3.5
1982-03,48.9,23.5,0.61,4
1982-04,56.7,24.1,0.62,3.5
1982-05,65.4,35.5,1.82,2
1982-06,76,40.7,0.03,0
1982-07,83.9,49.1,1.29,0
1982-08,82.6,52,2.42,0
1982-09,70.7,42.8,3.4,0
1982-10,58.9,28,1.57,9.5
1982-11,44.6,18.2,0.62,6.5
1982-12,36.4,14,0.63,14.5
1983-01,41.2,13.7,0.31,14
1983-02,41.9,15.6,1.16,19
1983-03,46.6,25.1,1.27,14
1983-04,51,24.6,1.14,5
1983-05,63.4,34,1.89,4
1983-06,74.2,42.2,1.69,0
1983-07,83.1,50.5,1.89,0
1983-08,84.9,52.6,1.3,0
1983-09,78.4,42.8,0.53,0
1983-10,64.5,31.7,2.03,0
1983-11,46.8,22.6,1.57,13
1983-12,33.2,12.5,2.85,46.2
1984-01,28.9,-0.6,0.37,4.5
1984-02,37.7,7.9,0.16,7.8
1984-03,44.5,20,1.6,15
1984-04,52.5,25,2.24,14.5
1984-05,72.1,37.6,1.01,0
1984-06,74.3,42.1,3.71,0
1984-07,85,51.2,0.73,0
1984-08,82.1,49.6,1.33,0
1984-09,74.6,39.8,1.03,0.5
1984-10,54.7,30.3,2.26,13
1984-11,48.5,20.5,0.61,9
1984-12,36.9,11.9,0.68,14.5
1985-01,33.1,6.8,1.19,15.3
1985-02,36.1,6.7,0.22,5.5
1985-03,48.5,19.4,1.91,19
1985-04,61.4,29.4,2.54,18
1985-05,69.7,36.3,1.27,0
1985-06,80.8,43.2,0.82,0
1985-07,84.4,50.4,2.14,0
1985-08,84.6,46.3,0.71,0
1985-09,70.1,35.9,0.69,0
1985-10,62.5,28.2,2.97,11
1985-11,43.3,21.6,2.85,35
1985-12,37,11.8,0.6,14.3
1986-01,42.2,12.4,0.67,12
1986-02,44.7,20.3,1.86,15.5
1986-03,56,26.1,1.23,13
1986-04,59,27.8,1.71,6.5
1986-05,68.3,31.7,0.59,0
1986-06,81.8,44.3,0.57,0
1986-07,81.4,48,2.18,0
1986-08,83,46.9,1.32,0
1986-09,68.1,34.7,1.24,0
1986-10,61.4,28.1,2.01,7
1986-11,47.1,22.9,1.91,18
1986-12,41.3,13.9,0.41,3.5
1987-01,38,10.1,0.71,12
1987-02,43.1,18.2,1.15,12.8
1987-03,47.4,17.8,1.29,14
1987-04,63.7,27.1,1.36,14
1987-05,68.9,36.6,2.36,0
1987-06,81.4,42.7,0.38,0
1987-07,M,M,M,M
1987-08,M,M,M,M
1987-09,M,M,M,M
1987-10,M,M,M,M
1987-11,M,M,M,M
1987-12,M,M,M,M
1988-01,M,M,M,M
1988-02,M,M,M,M
1988-03,M,M,M,M
1988-04,M,M,M,M
1988-05,M,M,M,M
1988-06,M,M,M,M
1988-07,M,M,M,M
1988-08,M,M,M,M
1988-09,M,M,M,M
1988-10,M,M,M,M
1988-11,M,M,M,M
1988-12,M,M,M,M
1989-01,M,M,M,M
1989-02,M,M,M,M
1989-03,M,M,M,M
1989-04,M,M,M,M
1989-05,M,M,M,M
1989-06,79,41.3,0.25,0
1989-07,87.9,50.4,0.98,0
1989-08,81.6,47.6,1.44,0
1989-09,76.4,40.3,1.4,0
1989-10,64.2,30.3,0.88,4
1989-11,50.6,21,0.47,11.5
1989-12,37.1,11.2,0.42,9
1990-01,39.8,14.4,0.09,5.5
1990-02,40,12.9,1.28,30
1990-03,51.5,26.8,0.49,7.5
1990-04,62.7,32.9,1.82,6
1990-05,69,35.5,0.8,0
1990-06,83.5,45,1.14,2
1990-07,84.4,50.5,1.49,0
1990-08,83.4,47.6,0.56,0
1990-09,79.3,44.9,1.09,0
1990-10,65.6,30.9,2.41,0
1990-11,49.1,21.4,0.82,1.5
1990-12,33.6,5.1,0.49,11.5
1991-01,31.2,4.3,1.07,20
1991-02,42.3,12.3,0.39,4
1991-03,46.3,22.5,2.33,30
1991-04,54.6,28.5,1.67,9.5
1991-05,69.4,36.9,0.75,0
1991-06,78.9,43.8,0.75,0
1991-07,83.2,48.7,2.22,0
1991-08,83.3,49.4,1.57,0
1991-09,74.5,40.8,1.75,0
1991-10,64.6,29,1.78,13
1991-11,41.8,20.9,1.45,14
1991-12,32.7,8.6,0.83,16
1992-01,31.8,2.1,0.46,12.5
1992-02,41.3,17.4,1.01,6.5
1992-03,52.2,26.6,1.55,6
1992-04,65.9,33.9,1.94,3
1992-05,71.1,40.6,3.25,0
1992-06,74.6,40.6,0.45,0
1992-07,84,46.8,2.52,0
1992-08,85.2,48,0.83,0
1992-09,M,M,M,M
1992-10,M,M,M,M
1992-11,M,M,M,M
1992-12,M,M,M,M
1993-01,36.7,11.7,1.55,15.4
1993-02,36.9,12.8,1.16,9.4
1993-03,50.4,23.6,2.35,0
1993-04,57.1,29.1,3.54,1
1993-05,68.7,39.2,2.3,0
1993-06,77.3,41.9,1.04,0
1993-07,84.5,44.4,0.33,0
1993-08,83,45.7,1.31,0
1993-09,76.2,36.7,0.32,0
1993-10,61.1,30.5,1.95,0
1993-11,41.8,15.7,1.72,13
1993-12,34.8,9.9,0.67,8.3
1994-01,38.3,9.8,0.28,3.8
1994-02,39,14.4,1.11,6.8
1994-03,54.5,24.5,0.88,1.8
1994-04,59.2,30.8,2.49,5.1
1994-05,73.7,37.3,0.73,0
1994-06,86.1,44.7,0.32,0
1994-07,89.4,49.1,0.4,0
1994-08,87.4,50.8,1.08,0
1994-09,78.2,41.1,1.38,0
1994-10,61.3,31,1.13,T
1994-11,41.8,14,2.29,25
1994-12,36,13.8,0.8,7.5
1995-01,33.9,11.2,1,15.7
1995-02,47.6,19.9,0.89,14.5
1995-03,51.5,25.5,1.14,0
1995-04,55.6,27.6,3.44,0
1995-05,59.4,36,5.59,0
1995-06,74.4,41.3,1.49,0
1995-07,84.1,45.8,1.13,0
1995-08,86.6,49.8,1.06,0
1995-09,75.1,39,2.91,0
1995-10,62.2,27.6,1.98,14
1995-11,53.6,25,1.49,7.5
1995-12,46.1,19.3,0.41,4
1996-01,34.3,9.2,1.95,22.5
1996-02,39,11.5,2.17,14
1996-03,49.5,22.2,1.14,10
1996-04,58.8,28.2,1.9,4.5
1996-05,72.1,36.7,1.18,0
1996-06,81.6,43.3,1.03,0
1996-07,88.5,49.3,2.03,0
1996-08,86.8,46.7,0.53,0
1996-09,72.8,40.6,1.75,0
1996-10,60.4,27.9,2.68,17.3
1996-11,47.7,23.4,2.63,22
1996-12,35.9,13.5,1.32,20.5
1997-01,33.1,10.7,1.66,22
1997-02,36.6,11.1,0.89,13
1997-03,54,23.3,0.45,1.5
1997-04,51.6,25.5,3.77,20
1997-05,68.6,36.9,1.87,0
1997-06,79.2,44.4,0.89,0
1997-07,84.5,46.4,2.47,0
1997-08,80.6,49.2,3.29,0
1997-09,73.9,44.2,5.5,0
1997-10,62.4,29.4,2.61,6.5
1997-11,45.7,20.9,1.12,7
1997-12,33.6,10.8,0.72,9.3
1998-01,40,17.1,0.95,10.5
1998-02,39.6,19.7,1.26,14.5
1998-03,47.2,21.2,1.94,8.5
1998-04,54.6,29.7,1.47,3
1998-05,70,35.6,0.37,0
1998-06,73.4,39.8,3.29,0
1998-07,87.7,51.4,2.14,0
1998-08,85.5,48.2,1.14,0
1998-09,79.8,44.3,0.77,0
1998-10,63.3,31.3,2.69,T
1998-11,51.2,25.1,0.87,4.5
1998-12,35.8,7.9,1.26,24.5
1999-01,39.4,16.6,1.23,16.5
1999-02,44.3,17.2,1.43,13.5
1999-03,58.1,24.1,0.57,4.5
1999-04,54.9,26.9,3.34,8.3
1999-05,64.7,34.9,1.91,T
1999-06,78.8,41.1,0.8,0
1999-07,85.5,51.3,1.03,0
1999-08,81.3,49.2,2.28,0
1999-09,73.5,37.3,0.65,0
1999-10,69.2,25.9,0.74,1
1999-11,59.4,21,0.58,5
1999-12,35.4,8.6,1.21,18.5
2000-01,40.3,18.1,0.93,6
2000-02,45.8,22.4,0.98,8
2000-03,49.1,24.1,1.39,17.5
2000-04,62.9,31,1.14,0
2000-05,72.5,38.3,1.27,0
2000-06,81.9,42.7,1.3,0
2000-07,90.1,50.1,0.53,0
2000-08,87,52,2.03,0
2000-09,75.6,40.3,1.9,2
2000-10,64.3,30,0.55,0
2000-11,36.2,8.8,1.45,27.5
2000-12,36.2,10.3,0.86,14
2001-01,31.8,4,0.72,11
2001-02,40.1,17.1,1,10.5
2001-03,50.9,25,0.83,6.5
2001-04,61,32,1.28,7
2001-05,71.1,36.4,1.82,3.5
2001-06,82.1,42.9,1.48,0
2001-07,87,50.5,1.39,0
2001-08,84.6,49.5,1.77,0
2001-09,79.1,40.1,1.08,0
2001-10,65.8,30,1.08,0.5
2001-11,52.2,21.3,1.53,9.5
2001-12,32.4,6,0.68,8.5
2002-01,33.5,6.3,0.84,10
2002-02,34.9,5.6,0.3,0
2002-03,44.9,17.3,1.63,15.5
2002-04,64.9,30,0.82,0
2002-05,70.9,33.5,0.06,T
2002-06,85.2,44.6,0.3,0
2002-07,91.2,51.8,0.8,0
2002-08,84.4,45.7,1.25,0
2002-09,73.7,41.9,1.58,0
2002-10,60,27.6,1.7,4
2002-11,44.7,18.8,0.88,3.5
2002-12,37,11.9,0.56,9
2003-01,35.8,10.5,0.84,10.5
2003-02,37.8,14.5,1.62,15.5
2003-03,49.9,25.2,1.37,8.4
2003-04,59.6,29.7,0.95,4.1
2003-05,69.2,37.1,1.53,0
