Date,f16_Walden_maxt,f16_Walden_mint,f16_Walden_pcpn,f16_Walden_snow
1980-01,30.5,7.9,2.26,29.8
1980-02,34.3,9.2,0.78,5.8
1980-03,36.2,11.1,0.74,9
1980-04,47.4,16.4,0.58,6.6
1980-05,58.5,29,2.43,6.8
1980-06,74.5,33.9,0.04,0
1980-07,80.4,40.1,0.32,0
1980-08,74.8,36.3,0.98,0
1980-09,69.5,30.8,1.08,0
1980-10,55.6,19.6,0.75,3.3
1980-11,43.3,11.2,0.27,1.2
1980-12,44,16.4,0.16,2.1
1981-01,42.3,4.5,0.07,1.5
1981-02,37.8,9.1,0.42,6.1
1981-03,42.6,15,0.86,11.2
1981-04,57.2,24,0.34,0.7
1981-05,56.6,30.2,2.2,0
1981-06,73.6,39.4,1.71,0
1981-07,78.5,41.7,1.54,0
1981-08,76.5,37.5,0.87,0
1981-09,71.5,34.2,1.22,0
1981-10,51.8,24.6,0.94,2
1981-11,46.4,16.2,0.44,8
1981-12,33.4,11.5,0.68,12.2
1982-01,29.6,6.7,0.84,11.5
1982-02,33.9,6.3,0.14,2.9
1982-03,40.3,17.3,0.79,8.6
1982-04,47.8,17.7,0.42,4.5
1982-05,56.8,27.5,2.18,11.5
1982-06,69.2,32.8,0.6,0
1982-07,76.7,39.7,1.93,0
1982-08,78.7,41.7,0.89,0
1982-09,64.2,34,1.62,0.6
1982-10,51.4,21.8,0.63,2
1982-11,37.4,9.3,0.6,8.5
1982-12,31,5.6,1.06,16.1
1983-01,33.9,5.6,0.05,0.9
1983-02,36,9.6,0.35,3.8
1983-03,40.1,17.1,1.34,11.3
1983-04,42.3,16.9,1.76,12.9
1983-05,55.6,26.2,1.85,14.5
1983-06,66.9,36.5,2.51,0
1983-07,77.4,42.1,2.42,0
1983-08,79.6,42.7,1.69,0
1983-09,70.8,32.8,0.39,0
1983-10,56.9,23.7,1.09,0.7
1983-11,39.3,15.5,1.73,25.6
1983-12,26.3,4.3,1.25,20.4
1984-01,26,-2.6,0.15,1.9
1984-02,30.3,1.4,0.11,1.2
1984-03,37.1,12.2,1.14,15.5
1984-04,41.6,15.3,1.49,16
1984-05,61.8,30.6,0.5,0.6
1984-06,68.2,35.5,1.72,0
1984-07,78.8,43.1,2.35,0
1984-08,76.4,41.2,1.74,0
1984-09,66.8,32.8,1.62,2.8
1984-10,47.2,21.5,0.95,5.1
1984-11,40.5,13.6,0.53,8.4
1984-12,31.7,8.2,0.36,6.3
1985-01,25.8,-2.7,0.5,8.2
1985-02,29.8,2.6,0.24,3.3
1985-03,40.7,15.2,1.47,14.1
1985-04,52.4,23.1,2.35,18.7
1985-05,62.3,28.8,1.09,2
1985-06,72.7,35.4,0.54,0
1985-07,76.9,41.6,2.8,0
1985-08,76.3,35.7,0.7,0
1985-09,61.3,29.7,1.49,3.2
1985-10,53.8,22.7,2.44,15.1
1985-11,34.3,13.6,2.68,38.5
1985-12,29.6,6.1,0.3,4.9
1986-01,32.8,7.6,0.05,1.5
1986-02,34,13,1.76,20.1
1986-03,46,19.7,0.71,5.4
1986-04,50.4,23.3,0.98,12
1986-05,60.2,27.2,0.87,4.2
1986-06,74.6,37.8,1.66,0
1986-07,75.3,39.8,1,0
1986-08,77.2,37.9,1.5,0
1986-09,62.3,31.6,1.07,0.8
1986-10,54.5,21.9,1.75,10.6
1986-11,38.1,16.2,0.92,11.2
1986-12,35.6,4.4,0.13,1.6
1987-01,32.6,3.5,0.33,4.3
1987-02,38.6,10.5,0.15,2.4
1987-03,42.1,12.6,0.82,9.3
1987-04,56.3,19.8,1.49,9.8
1987-05,61.5,30.9,1.03,0
1987-06,74.7,35.3,0.24,0
1987-07,78.1,38.1,1.82,0
1987-08,74.8,36.5,0.58,0
1987-09,69.9,26.6,1.02,0
1987-10,59.2,22.5,1.48,0.8
1987-11,38.6,8.2,1.17,12.1
1987-12,27.8,4.9,1.13,12.4
1988-01,26.2,1.6,0.83,13.1
1988-02,32.5,4.4,0.44,7.3
1988-03,35.1,7.8,1.32,18.5
1988-04,52.3,21.6,0.52,3.7
1988-05,60.4,27.9,1.72,2.4
1988-06,78,39.5,0.74,0
1988-07,80.9,39.3,0.99,0
1988-08,79.5,37.8,0.34,0
1988-09,66.5,29.3,1.87,0
1988-10,61.3,25.2,0.16,0
1988-11,37.8,15.8,1.02,10.2
1988-12,31.3,2.1,0.67,7.9
1989-01,29.3,4.3,0.26,3.9
1989-02,28.7,3,1.42,21.5
1989-03,45,18.5,1.11,15
1989-04,54.4,23.7,0.42,5
1989-05,63.2,26.7,0.41,0
1989-06,71.4,33.4,0.28,0
1989-07,82.1,39.3,1.66,0
1989-08,74.7,36.6,0.66,0
1989-09,69.1,29.7,1.69,0
1989-10,56,21.7,0.37,2
1989-11,41.7,16,0.62,7.7
1989-12,29.8,3.8,0.5,7.5
1990-01,32.8,9.2,0.24,4.8
1990-02,32.7,4.9,1.58,22.6
1990-03,42.5,18.1,1.19,13.4
1990-04,53.1,23.3,1.05,1.9
1990-05,59.7,26.2,1.18,4
1990-06,75.2,36.2,0.64,0
1990-07,76.1,40.9,1.87,0
1990-08,77.5,35.6,0.56,0
1990-09,73.4,34.1,1.29,0
1990-10,53.9,24.3,1.85,8.5
1990-11,43.4,17.5,0.54,5.2
1990-12,28.8,0.6,0.32,4.5
1991-01,30.3,5.3,0.22,3.2
1991-02,41.5,9,0.24,3.5
1991-03,39.5,15,1.16,14.6
1991-04,48,19.5,0.54,4.5
1991-05,63.2,28.5,1.7,2.5
1991-06,72.4,37.1,1.62,0
1991-07,77.5,39.5,1.55,0
1991-08,77,38.9,0.54,0
1991-09,68.8,30.8,1.02,0.4
1991-10,58.1,21.3,0.38,4.4
1991-11,35.4,12.8,0.82,10
1991-12,33.4,4.5,0.19,2.6
1992-01,30.9,-1.2,1.08,14.2
1992-02,36.2,8.1,0.5,6.7
1992-03,45.4,17.9,0.24,0.6
1992-04,57.2,25.5,1.34,2.5
1992-05,65.1,32.3,2.55,0.8
1992-06,69.6,36.7,1.37,0
1992-07,73.8,38.4,2.24,0
1992-08,74.1,37.1,0.58,0
1992-09,69,31.8,0.6,1.1
1992-10,59.5,23.5,0.47,3.5
1992-11,33.3,8.9,0.58,6.5
1992-12,28.8,4.6,0.79,10.6
1993-01,31.5,5.9,0.41,7.2
1993-02,31.3,4.4,0.75,7.6
1993-03,41.3,13.9,0.74,7
1993-04,47.1,22.5,1.31,7.1
1993-05,61.7,29.5,1.23,T
1993-06,68.7,35.2,1.76,1.6
1993-07,75.3,35.6,0.29,T
1993-08,74.1,37.1,1.47,0
1993-09,65.5,30.1,1.2,T
1993-10,52.5,22.5,1.12,3.6
1993-11,34.4,7.4,1.29,16.5
1993-12,30.1,4.8,0.25,5
1994-01,31.4,6.9,0.11,1.6
1994-02,33.5,7.7,0.99,12.1
1994-03,45.3,15.3,0.46,5.5
1994-04,52.5,22.8,1.74,16.5
1994-05,66.9,29.4,0.34,0.8
1994-06,76.5,37.1,0.58,0
1994-07,79.3,37.7,0.49,0
1994-08,79.2,39.8,0.98,0
1994-09,69.7,30.3,0.79,0.5
1994-10,53.6,23.5,0.24,0.6
1994-11,38.4,12.6,0.7,6.8
1994-12,34.8,7.9,0.37,6.7
1995-01,32,4.9,0.48,6.9
1995-02,41,13.6,0.65,8
1995-03,43.4,18.3,0.56,5.2
1995-04,48.3,19.6,1.25,7.3
1995-05,53.5,30.2,5.46,12.9
1995-06,67.6,36.4,2,0
1995-07,75.5,39.5,0.78,0
1995-08,80,40.8,0.86,0
1995-09,66.9,33.2,2.78,4
