Date,f17_Rangley_maxt,f17_Rangley_mint,f17_Rangley_pcpn,f17_Rangley_snow
1980-01,32.6,12,0.55,M
1980-02,40,13,1.08,M
1980-03,49.7,22.9,0.84,M
1980-04,64.1,30,0.44,T
1980-05,68.6,41.5,2.14,0
1980-06,87.4,46.6,0.02,0
1980-07,92.2,54.2,1.02,0
1980-08,M,M,M,M
1980-09,77.8,41.5,0.8,0
1980-10,64.3,29.9,1.14,0
1980-11,50.5,19.2,0.34,0
1980-12,M,M,M,M
1981-01,46.4,12.7,0.32,M
1981-02,49.5,14,0.16,0
1981-03,53.8,26,2.02,0
1981-04,69.6,35.5,1.52,8
1981-05,70.4,41,1.89,0
1981-06,89.9,50.6,0.61,0
1981-07,92.9,54.4,0.71,0
1981-08,90.6,52.3,1,0
1981-09,83.4,47,1.21,0
1981-10,63.2,33.3,4.35,0
1981-11,51.4,21.5,0.41,3.5
1981-12,40.9,12.6,0.52,2.8
1982-01,34.8,1.7,0.63,5.5
1982-02,42.5,10.8,0.16,0
1982-03,53.4,23.2,1.08,0
1982-04,62.4,27,0.32,0
1982-05,70.1,36.7,1.26,0
1982-06,M,M,M,M
1982-07,90.7,56.4,2.04,0
1982-08,90,56.6,1.28,0
1982-09,77.9,45.3,4.18,0
1982-10,57.9,27.5,1.66,M
1982-11,45.5,21.8,0.76,0.3
1982-12,35,11.4,0.5,M
1983-01,36,9,0.17,5.2
1983-02,41.4,15.8,0.31,2
1983-03,50.8,29.9,1.53,M
1983-04,55.6,30.4,1.34,M
1983-05,66.8,38.5,2.79,T
1983-06,80.4,48.8,1.03,0
1983-07,91.6,54.7,1.13,0
1983-08,M,M,M,M
1983-09,84.9,45.9,0.54,0
1983-10,68.1,31.5,1.15,0
1983-11,48,20.2,1.44,6.3
1983-12,29.3,5.8,1.16,19.8
1984-01,21.1,-2.4,0.14,1.4
1984-02,30.3,-2.6,0.81,6.5
1984-03,M,M,M,M
1984-04,58.5,29.7,2.48,9.5
1984-05,78.4,39.3,0.21,0
1984-06,81.8,47.8,2.72,0
1984-07,M,M,M,M
1984-08,M,M,M,M
1984-09,79.5,43.1,1.77,T
1984-10,60,29.4,1.35,T
1984-11,51,M,0.45,T
1984-12,35,7.5,0.96,14.5
1985-01,27.8,-0.6,0.65,13.4
1985-02,30.8,-2,0.17,13
1985-03,49.8,21.6,0.23,T
1985-04,67.4,35.1,2.27,0.5
1985-05,75.2,43.5,1.05,0
1985-06,87.2,51,0.41,0
1985-07,M,M,M,M
1985-08,91.6,55.8,0.19,0
1985-09,75.9,44.2,1.88,0
1985-10,65,34.5,2.04,T
1985-11,46.7,24.7,1.45,7.8
1985-12,31.1,8.9,0.54,7
1986-01,32.9,4.9,0.26,5.5
1986-02,46.3,24.2,0.93,3.5
1986-03,60.8,31.5,1.22,2
1986-04,64.9,36.9,1.45,0
1986-05,75.3,42.7,0.63,M
1986-06,88.4,53.9,1.16,0
1986-07,87,56.8,2.66,0
1986-08,89.8,56.3,0.58,0
1986-09,73,45.6,2.02,0
1986-10,63.5,34.9,2.39,0
1986-11,50.2,25.3,0.49,T
1986-12,39.5,15.6,0.59,0
1987-01,34.5,9,0.28,7
1987-02,43.5,21.9,0.68,M
1987-03,49.9,23,1.55,M
1987-04,67.6,34.7,0.97,4
1987-05,72.9,44.2,2.02,0
1987-06,85.1,50.8,0.36,0
1987-07,87.6,55.2,1.36,0
1987-08,85.9,53.1,1.81,0
1987-09,79.8,42.8,0.07,0
1987-10,69.4,35.5,1.44,0
1987-11,46,25.1,1.29,3
1987-12,32.9,10,1.3,18.3
1988-01,20.5,-2.9,0.9,19.5
1988-02,33.2,4.4,0.05,2.5
1988-03,50,23.2,0.58,9.5
1988-04,65.7,33.6,1.42,0
