Date,f18_Global_CO2_average,f18_Global_CO2_trend
1980-1,338.55,337.93
1980-2,339.27,338.22
1980-3,339.6,338.25
1980-4,340,338.37
1980-5,340.43,338.9
1980-6,339.99,339.2
1980-7,338.45,339.3
1980-8,337.22,339.5
1980-9,337.06,339.45
1980-10,337.83,339.17
1980-11,338.93,339.26
1980-12,339.64,339.4
1981-1,340.18,339.55
1981-2,340.74,339.7
1981-3,341.38,340.03
1981-4,341.68,340.06
1981-5,341.42,339.89
1981-6,340.62,339.84
1981-7,339.22,340.07
1981-8,338.07,340.35
1981-9,337.97,340.36
1981-10,339.07,340.41
1981-11,340.17,340.5
1981-12,340.74,340.51
1982-1,341.37,340.76
1982-2,341.95,340.89
1982-3,342.23,340.85
1982-4,342.52,340.9
1982-5,342.36,340.82
1982-6,341.49,340.72
1982-7,339.75,340.61
1982-8,338.11,340.4
1982-9,338.16,340.54
1982-10,339.62,340.96
1982-11,340.95,341.28
1982-12,341.77,341.53
1983-1,342.36,341.71
1983-2,342.74,341.71
1983-3,343.04,341.7
1983-4,343.51,341.93
1983-5,343.83,342.29
1983-6,343.5,342.69
1983-7,342.13,342.9
1983-8,340.62,342.85
1983-9,340.54,342.95
1983-10,341.75,343.15
1983-11,342.81,343.16
1983-12,343.48,343.26
1984-1,344.32,343.66
1984-2,344.83,343.83
1984-3,344.96,343.61
1984-4,345.19,343.56
1984-5,345.34,343.79
1984-6,344.57,343.8
1984-7,343.2,344.01
1984-8,342.21,344.5
1984-9,342.13,344.58
1984-10,342.99,344.37
1984-11,344.16,344.47
1984-12,345.01,344.72
1985-1,345.36,344.67
1985-2,345.81,344.78
1985-3,346.65,345.33
1985-4,346.95,345.34
1985-5,346.79,345.22
1985-6,346.28,345.48
1985-7,344.94,345.76
1985-8,343.42,345.73
1985-9,343.37,345.82
1985-10,344.65,346.04
1985-11,345.79,346.12
1985-12,346.55,346.25
1986-1,347.1,346.42
1986-2,347.33,346.33
1986-3,347.7,346.38
1986-4,348.22,346.6
1986-5,348.31,346.75
1986-6,347.75,346.98
1986-7,346.29,347.13
1986-8,344.91,347.2
1986-9,344.84,347.24
1986-10,346.02,347.39
1986-11,347.28,347.62
1986-12,347.74,347.45
1987-1,348,347.22
1987-2,348.55,347.46
1987-3,349.27,347.85
1987-4,349.96,348.28
1987-5,350.23,348.66
1987-6,349.47,348.8
1987-7,347.9,348.88
1987-8,346.65,349.03
1987-9,346.69,349.14
1987-10,347.96,349.35
1987-11,349.24,349.57
1987-12,350.19,349.88
1988-1,350.91,350.12
1988-2,351.47,350.39
1988-3,351.85,350.38
