Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1980,0.21,0.41,0.07,0.15,0.25,0.19,0.13,0.09,0.1,0.11,0.2,0.09
1981,0.79,0.62,0.67,0.39,0.18,0.27,0.09,0.16,0.14,0.23,0.35,0.54
1982,-0.14,0.16,0.06,0.17,0.09,0.01,0.04,-0.07,0.05,-0.01,-0.11,0.38
1983,0.55,0.34,0.42,0.06,0.05,0.11,0.2,0.25,0.26,0.12,0.49,0.11
1984,0.33,0.02,0.18,-0.07,0.23,0.09,0.09,0.06,-0.04,0.08,-0.11,-0.42
1985,0.07,-0.3,0,-0.04,0.09,0,-0.08,-0.02,0.02,0.02,0.02,0.16
1986,0.36,0.31,0.26,0.15,0.19,0.14,-0.02,0.04,-0.02,0.09,0.03,0.06
1987,0.24,0.5,0,0.07,0.23,0.16,0.25,0.27,0.39,0.22,0.1,0.5
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.05,0.42
1989,0.08,0.39,0.45,0.32,0.22,0.24,0.31,0.25,0.24,0.25,0.11,0.33
1990,0.47,0.54,1.16,0.71,0.5,0.48,0.32,0.41,0.42,0.48,0.46,0.38
1991,0.59,0.56,0.45,0.56,0.33,0.47,0.43,0.35,0.35,0.29,0.32,0.2
1992,0.6,0.49,0.54,0.16,0.18,0.04,-0.1,-0.08,-0.18,-0.18,-0.09,0.21
1993,0.38,0.52,0.39,0.23,0.32,0.22,0.12,0.02,-0.06,0.12,-0.21,0.22
1994,0.34,-0.04,0.49,0.48,0.39,0.41,0.33,0.32,0.33,0.54,0.5,0.36
1995,0.75,1.19,0.59,0.71,0.41,0.51,0.37,0.54,0.43,0.6,0.57,0.27
1996,0.27,0.55,0.32,0.17,0.35,0.25,0.29,0.19,0.04,0.05,0.35,0.35
1997,0.34,0.6,0.74,0.49,0.42,0.49,0.41,0.48,0.52,0.63,0.59,0.51
1998,0.62,1.03,0.72,0.87,0.66,0.73,0.75,0.72,0.61,0.54,0.48,0.73
1999,0.59,1,0.29,0.54,0.36,0.35,0.36,0.3,0.4,0.39,0.53,0.66
2000,0.38,0.89,0.83,0.89,0.54,0.44,0.42,0.47,0.36,0.29,0.19,0.27
2001,0.56,0.46,0.76,0.6,0.69,0.51,0.63,0.68,0.56,0.6,0.97,0.65
2002,1.02,1.14,1.12,0.51,0.52,0.68,0.66,0.55,0.62,0.53,0.78,0.42
2003,0.93,0.56,0.66,0.61,0.71,0.54,0.68,0.86,0.78,0.99,0.66,0.98
2004,0.67,0.92,0.86,0.7,0.52,0.47,0.49,0.55,0.59,0.7,0.98,0.45
2005,0.94,0.72,0.94,0.92,0.78,0.79,0.75,0.69,0.9,0.95,1.06,0.84
2006,0.65,0.95,0.78,0.59,0.76,0.81,0.69,0.69,0.82,0.96,0.95,1.15
2007,1.45,0.9,0.96,1.07,0.72,0.65,0.66,0.73,0.67,0.83,0.82,0.77
2008,0.34,0.58,1.14,0.65,0.6,0.61,0.6,0.6,0.58,0.86,0.97,0.66
2009,0.82,0.7,0.6,0.7,0.66,0.68,0.68,0.72,0.85,0.79,0.84,0.67
2010,0.81,0.94,1.1,1.13,0.94,0.85,0.88,0.86,0.7,0.89,1.2,0.5
2011,0.61,0.56,0.88,0.84,0.65,0.76,0.73,0.71,0.73,0.91,0.66,0.88
2012,0.68,0.59,0.72,1.06,0.97,0.94,0.85,0.76,0.86,0.91,0.98,0.46
2013,0.85,0.79,0.81,0.68,0.78,0.77,0.7,0.74,0.7,0.83,1.13,0.84
2014,0.97,0.71,1.2,1.08,0.9,0.82,0.77,0.91,0.84,0.93,0.81,1.1
2015,1.18,1.19,1.32,1.03,1.05,1.05,0.92,1.01,1.17,1.29,1.38,1.53
2016,1.55,1.94,1.9,1.49,1.11,1.12,1.04,1.12,1.23,1.03,1.12,1.04
2017,1.39,1.52,1.52,1.2,0.92,0.93,0.97,1.02,1,1.05,1.23,1.4
2018,1.14,1.24,1.17,0.97,1.01,0.87,0.9,0.87,0.97,1.25,0.98,1.11
2019,1.21,1.13,1.55,1.26,0.99,1.2,1.04,1.09,1.22,1.31,1.21,1.4
2020,1.6,1.71,1.67,1.42,1.28,1.14,1.11,1.13,1.21,1.22,1.62,1.23
2021,1.26,0.96,1.21,1.13,1.06,***,***,***,***,***,***,***
