Date,f20_Elk_River_Snow Water Equivalent (in) Start of Day Values,f20_Elk_River_Snow Water Equivalent Increment(in),f20_Elk_River_Precipitation Accumulation (in) Start of Day Values,f20_Elk_River_Precipitation Increment (in)
1/2/1980,4.3,0,6.7,0
1/3/1980,4.3,0.7,6.7,0.4
1/4/1980,5,0.4,7.1,0.4
1/5/1980,5.4,0.2,7.5,0.1
1/6/1980,5.6,0.1,7.6,0.1
1/7/1980,5.7,0.4,7.7,0
1/8/1980,6.1,0.9,7.7,0.6
1/9/1980,7,1,8.3,0.8
1/10/1980,8,0.7,9.1,0.4
1/11/1980,8.7,0.5,9.5,0.1
1/12/1980,9.2,0.7,9.6,0.7
1/13/1980,9.9,0.6,10.3,0.5
1/14/1980,10.5,0.8,10.8,0.7
1/15/1980,11.3,0.1,11.5,0.1
1/16/1980,11.4,0.1,11.6,0.2
1/17/1980,11.5,0.2,11.8,0.1
1/18/1980,11.7,0,11.9,0
1/19/1980,11.7,0,11.9,0
1/20/1980,11.7,0.2,11.9,0.1
1/21/1980,11.9,0,12,0.1
1/22/1980,11.9,0,12.1,0
1/23/1980,11.9,0.1,12.1,0
1/24/1980,12,0.1,12.1,0
1/25/1980,12.1,0.2,12.1,0.1
1/26/1980,12.3,0.3,12.2,0.3
1/27/1980,12.6,0.9,12.5,0.8
1/28/1980,13.5,0.7,13.3,0.5
1/29/1980,14.2,0.9,13.8,0.8
1/30/1980,15.1,0,14.6,0
1/31/1980,15.1,0,14.6,0
2/1/1980,15.1,0.2,14.6,0.1
2/2/1980,15.3,0,14.7,0.1
2/3/1980,15.3,0.2,14.8,0.1
2/4/1980,15.5,0.2,14.9,0.1
2/5/1980,15.7,0,15,0.1
2/6/1980,15.7,0.2,15.1,0
2/7/1980,15.9,0,15.1,0.2
2/8/1980,15.9,0,15.3,0
2/9/1980,15.9,0,15.3,0
2/10/1980,15.9,0.1,15.3,0
2/11/1980,16,0,15.3,0
2/12/1980,16,0.1,15.3,0
2/13/1980,16.1,0,15.3,0
2/14/1980,16.1,1.2,15.3,1
2/15/1980,17.3,0.5,16.3,0.3
2/16/1980,17.8,0,16.6,0
2/17/1980,17.8,0.5,16.6,0.5
2/18/1980,18.3,0.8,17.1,0.7
2/19/1980,19.1,0,17.8,0.2
2/20/1980,19.1,0.9,18,0.6
2/21/1980,20,0,18.6,0.2
2/22/1980,20,0.3,18.8,0.2
2/23/1980,20.3,0.2,19,0.1
2/24/1980,20.5,0.1,19.1,0
2/25/1980,20.6,0,19.1,0
2/26/1980,20.6,0.2,19.1,0
2/27/1980,20.8,0,19.1,0.2
2/28/1980,20.8,0,19.3,0.2
2/29/1980,20.8,0.3,19.5,0.1
3/1/1980,21.1,0,19.6,0
3/2/1980,21.1,0.5,19.6,0.2
3/3/1980,21.6,0.9,19.8,0.7
3/4/1980,22.5,0.3,20.5,0.3
3/5/1980,22.8,0.5,20.8,0.3
3/6/1980,23.3,0.3,21.1,0.4
3/7/1980,23.6,0,21.5,0
3/8/1980,23.6,0,21.5,0.1
3/9/1980,23.6,0.2,21.6,0
3/10/1980,23.8,0,21.6,0
3/11/1980,23.8,0.3,21.6,0.2
3/12/1980,24.1,0.5,21.8,0.3
3/13/1980,24.6,0,22.1,0
3/14/1980,24.6,0.2,22.1,0
3/15/1980,24.8,0.3,22.1,0.2
3/16/1980,25.1,0,22.3,0
3/17/1980,25.1,0,22.3,0
3/18/1980,25.1,0,22.3,0.2
3/19/1980,25.1,0,22.5,0.1
3/20/1980,25.1,0.5,22.6,0
3/21/1980,25.6,-0.1,22.6,0
3/22/1980,25.5,0.1,22.6,0
3/23/1980,25.6,0,22.6,0
3/24/1980,25.6,0.2,22.6,0.2
3/25/1980,25.8,0.2,22.8,0.3
3/26/1980,26,0.1,23.1,0.2
3/27/1980,26.1,0.1,23.3,0
3/28/1980,26.2,0.1,23.3,0
3/29/1980,26.3,0.1,23.3,0
3/30/1980,26.4,0.1,23.3,0
3/31/1980,26.5,0.1,23.3,0.3
4/1/1980,26.6,0.1,23.6,0
4/2/1980,26.7,0.3,23.6,0.4
4/3/1980,27,0.1,24,0.1
4/4/1980,27.1,0,24.1,0
4/5/1980,27.1,0.7,24.1,0.2
4/6/1980,27.8,0.3,24.3,0.3
4/7/1980,28.1,0.4,24.6,0.2
4/8/1980,28.5,0,24.8,0
4/9/1980,28.5,0.5,24.8,0
4/10/1980,29,0.1,24.8,0.5
4/11/1980,29.1,0,25.3,0
4/12/1980,29.1,0,25.3,0
4/13/1980,29.1,0,25.3,0
4/14/1980,29.1,0.4,25.3,0
4/15/1980,29.5,-0.5,25.3,0
4/16/1980,29,0,25.3,0
4/17/1980,29,0,25.3,0
4/18/1980,29,-0.7,25.3,0
4/19/1980,28.3,-0.9,25.3,0
4/20/1980,27.4,-1.5,25.3,0.2
4/21/1980,25.9,-1.6,25.5,0
4/22/1980,24.3,-0.7,25.5,0
4/23/1980,23.6,-1,25.5,0
4/24/1980,22.6,-0.1,25.5,0
4/25/1980,22.5,0,25.5,0
4/26/1980,22.5,-1.4,25.5,0
4/27/1980,21.1,-1.3,25.5,0
4/28/1980,19.8,-1.3,25.5,0
4/29/1980,18.5,-0.9,25.5,0.3
4/30/1980,17.6,-0.5,25.8,0
5/1/1980,17.1,-0.1,25.8,0
5/2/1980,17,-1.1,25.8,0.1
5/3/1980,15.9,-0.5,25.9,0.1
5/4/1980,15.4,-0.6,26,0.1
5/5/1980,14.8,-1.3,26.1,0
5/6/1980,13.5,-0.6,26.1,0.2
5/7/1980,12.9,-0.7,26.3,0.1
5/8/1980,12.2,-1,26.4,0.3
5/9/1980,11.2,0,26.7,0.4
5/10/1980,11.2,-1,27.1,0.2
5/11/1980,10.2,0.2,27.3,0.8
5/12/1980,10.4,0.3,28.1,0.4
5/13/1980,10.7,0.2,28.5,0.1
5/14/1980,10.9,-0.3,28.6,0
5/15/1980,10.6,-0.6,28.6,0
5/16/1980,10,-0.4,28.6,0.2
5/17/1980,9.6,0,28.8,0.8
5/18/1980,9.6,0,29.6,0
5/19/1980,9.6,-0.7,29.6,0
5/20/1980,8.9,-1.2,29.6,0
5/21/1980,7.7,-1.9,29.6,0
5/22/1980,5.8,-1.9,29.6,0
5/23/1980,3.9,-2.3,29.6,0
5/24/1980,1.6,-1.6,29.6,0
5/25/1980,0,0,29.6,0
5/26/1980,0,0,29.6,0
5/27/1980,0,0,29.6,0
5/28/1980,0,0,29.6,0
5/29/1980,0,0,29.6,0
5/30/1980,0,0,29.6,0
5/31/1980,0,0,29.6,0
6/1/1980,0,0,29.6,0.2
6/2/1980,0,0,29.8,0
6/3/1980,0,0,29.8,0
6/4/1980,0,0,29.8,0
6/5/1980,0,0,29.8,0
6/6/1980,0,0,29.8,0
