Date,f21_Burrow_Snow Water Equivalent (in) Start of Day Values,f21_Burrow_Snow Water Equivalent Increment,f21_Burrow_Precipitation Accumulation (in) Start of Day Values,f21_Burrow_Precipitation Increment (in)
8/17/1980,0,0,33.1,0
8/18/1980,0,0,33.1,0
8/19/1980,0,0,33.1,0
8/20/1980,0,0,33.1,0
8/21/1980,0,0,33.1,0
8/22/1980,0,0,33.1,0
8/23/1980,0,0,33.1,0.3
8/24/1980,0,0,33.4,0
8/25/1980,0,0,33.4,0
8/26/1980,0,0,33.4,0
8/27/1980,0,0,33.4,0
8/28/1980,0,0,33.4,0
8/29/1980,0,0,33.4,0
8/30/1980,0,0,33.4,0
8/31/1980,0,0,33.4,0
9/1/1980,0,0,33.4,0
9/2/1980,0,0,33.4,0
9/3/1980,0,0,33.4,0
9/4/1980,0,0,33.4,0
9/5/1980,0,0,33.4,0
9/6/1980,0,0,33.4,0
9/7/1980,0,0,33.4,0.1
9/8/1980,0,0,33.5,0.1
9/9/1980,0,0,33.6,0
9/10/1980,0,0,33.6,0.2
9/11/1980,0,0,33.8,0
9/12/1980,0,0,33.8,0
9/13/1980,0,0,33.8,0
9/14/1980,0,0,33.8,0
9/15/1980,0,0,33.8,0
9/16/1980,0,0,33.8,0
9/17/1980,0,0,33.8,0
9/18/1980,0,0,33.8,0.2
9/19/1980,0,0,34,0
9/20/1980,0,0,34,0
9/21/1980,0,0,34,0
9/22/1980,0,0,34,0
9/23/1980,0,0,34,0
9/24/1980,0,0,34,0
9/25/1980,0,0,34,0
9/26/1980,0,0,34,0
9/27/1980,0,0,34,0
9/28/1980,0,0,34,0
9/29/1980,0,0,34,0
9/30/1980,0,0,34,0
10/1/1980,0,0,0,0
10/2/1980,0,0,0,0
10/3/1980,0,0,0,0
10/4/1980,0,0,0,0
10/5/1980,0,0,0,0
10/6/1980,0,0,0,0
10/7/1980,0,0,0,0
10/8/1980,0,0,0,0
10/9/1980,0,0,0,0
10/10/1980,0,0,0,0
10/11/1980,0,0,0,0
10/12/1980,0,0,0,0.2
10/13/1980,0,0,0.2,0.1
10/14/1980,0,0.1,0.3,0.6
10/15/1980,0.1,0.1,0.9,0.2
10/16/1980,0.2,1,1.1,1.5
10/17/1980,1.2,0.2,2.6,0.4
10/18/1980,1.4,0,3,0
10/19/1980,1.4,0,3,0.1
10/20/1980,1.4,0,3.1,0
10/21/1980,1.4,0,3.1,0
10/22/1980,1.4,0.1,3.1,0
10/23/1980,1.5,0,3.1,0
10/24/1980,1.5,0,3.1,0.1
10/25/1980,1.5,0,3.2,0
10/26/1980,1.5,0.2,3.2,0.4
10/27/1980,1.7,0.1,3.6,0.1
10/28/1980,1.8,0,3.7,0
10/29/1980,1.8,0,3.7,0
10/30/1980,1.8,0,3.7,0
10/31/1980,1.8,0,3.7,0
11/1/1980,1.8,0,3.7,0
11/2/1980,1.8,0,3.7,0
11/3/1980,1.8,0,3.7,0
11/4/1980,1.8,0,3.7,0
11/5/1980,1.8,0,3.7,0
11/6/1980,1.8,0,3.7,0
11/7/1980,1.8,0,3.7,0
11/8/1980,1.8,0,3.7,0
11/9/1980,1.8,0,3.7,0
11/10/1980,1.8,0,3.7,0
11/11/1980,1.8,0,3.7,0
11/12/1980,1.8,0,3.7,0.5
11/13/1980,1.8,0.3,4.2,0.4
11/14/1980,2.1,0.2,4.6,0.1
11/15/1980,2.3,0,4.7,0
11/16/1980,2.3,0,4.7,0
11/17/1980,2.3,0,4.7,0
11/18/1980,2.3,-0.3,4.7,0
11/19/1980,2,-0.2,4.7,0
11/20/1980,1.8,0,4.7,0
11/21/1980,1.8,0,4.7,0
11/22/1980,1.8,0,4.7,0
11/23/1980,1.8,0,4.7,0
11/24/1980,1.8,0,4.7,0.3
11/25/1980,1.8,0,5,0
11/26/1980,1.8,0,5,0
11/27/1980,1.8,0,5,0
11/28/1980,1.8,0,5,0
11/29/1980,1.8,0,5,0
11/30/1980,1.8,0,5,0
12/1/1980,1.8,0.1,5,0
12/2/1980,1.9,0,5,0
12/3/1980,1.9,0,5,0
12/4/1980,1.9,0,5,0
12/5/1980,1.9,0,5,0
12/6/1980,1.9,0.3,5,0.4
12/7/1980,2.2,0.4,5.4,0.3
12/8/1980,2.6,0,5.7,0
12/9/1980,2.6,0.1,5.7,0.2
12/10/1980,2.7,0,5.9,0
12/11/1980,2.7,0,5.9,0
12/12/1980,2.7,0,5.9,0
12/13/1980,2.7,0,5.9,0
12/14/1980,2.7,0,5.9,0
12/15/1980,2.7,0,5.9,0
12/16/1980,2.7,0,5.9,0
12/17/1980,2.7,0,5.9,0
12/18/1980,2.7,0,5.9,0
12/19/1980,2.7,0,5.9,0
12/20/1980,2.7,0,5.9,0
12/21/1980,2.7,0,5.9,0
12/22/1980,2.7,0.1,5.9,0.2
12/23/1980,2.8,0.1,6.1,0.3
12/24/1980,2.9,0,6.4,0
12/25/1980,2.9,0,6.4,0
12/26/1980,2.9,0,6.4,0
12/27/1980,2.9,0.1,6.4,0.1
12/28/1980,3,0,6.5,0
12/29/1980,3,0,6.5,0
12/30/1980,3,0,6.5,0
12/31/1980,3,0,6.5,0
1/1/1981,3,0,6.5,0
1/2/1981,3,0,6.5,0
1/3/1981,3,0,6.5,0
1/4/1981,3,0,6.5,0
1/5/1981,3,0.2,6.5,0.3
1/6/1981,3.2,0,6.8,0
1/7/1981,3.2,0,6.8,0
1/8/1981,3.2,0,6.8,0
1/9/1981,3.2,0,6.8,0
1/10/1981,3.2,0,6.8,0
1/11/1981,3.2,0,6.8,0
1/12/1981,3.2,0,6.8,0
1/13/1981,3.2,0,6.8,0
1/14/1981,3.2,0,6.8,0
1/15/1981,3.2,0,6.8,0
1/16/1981,3.2,0,6.8,0
1/17/1981,3.2,0,6.8,0
1/18/1981,3.2,0,6.8,0
1/19/1981,3.2,0,6.8,0
1/20/1981,3.2,0,6.8,0
1/21/1981,3.2,0,6.8,0
1/22/1981,3.2,0,6.8,0
1/23/1981,3.2,0,6.8,0
1/24/1981,3.2,0,6.8,0
1/25/1981,3.2,0.1,6.8,0.1
1/26/1981,3.3,0,6.9,0
1/27/1981,3.3,0,6.9,0
1/28/1981,3.3,0.1,6.9,0.1
1/29/1981,3.4,0,7,0
1/30/1981,3.4,0.3,7,0.4
1/31/1981,3.7,0.6,7.4,0.8
2/1/1981,4.3,0.2,8.2,0.3
2/2/1981,4.5,0,8.5,0.1
2/3/1981,4.5,0,8.6,0
2/4/1981,4.5,0,8.6,0
2/5/1981,4.5,0,8.6,0
2/6/1981,4.5,0,8.6,0
2/7/1981,4.5,0,8.6,0
2/8/1981,4.5,0,8.6,0
2/9/1981,4.5,0.4,8.6,0.4
2/10/1981,4.9,0.1,9,0.1
2/11/1981,5,0,9.1,0.1
2/12/1981,5,0.1,9.2,0.1
2/13/1981,5.1,0,9.3,0
2/14/1981,5.1,0,9.3,0
2/15/1981,5.1,0,9.3,0.1
2/16/1981,5.1,0,9.4,0
2/17/1981,5.1,0,9.4,0
2/18/1981,5.1,0,9.4,0
2/19/1981,5.1,0,9.4,0
2/20/1981,5.1,0.4,9.4,0.4
2/21/1981,5.5,0.1,9.8,0.2
2/22/1981,5.6,0,10,0
2/23/1981,5.6,0,10,0
2/24/1981,5.6,0,10,0
2/25/1981,5.6,0,10,0
2/26/1981,5.6,0.1,10,0.3
