Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,43.8,41.8,20,37.6,40.1,33.2,41.5,36.9,54.5,47.2,42.1,42.2
1981,40.8,24.1,22.2,23.3,50.9,49.4,47.8,64.8,53.6,54.8,51.9,34.7
1982,49.5,36.9,28.4,37.1,49.7,40.1,27.2,24.9,32.6,24,16.2,22.9
1983,11.3,24.7,38,42.7,29.7,28.9,29.9,49,52.1,57.3,51,53.9
1984,61.9,64.8,55.7,54.6,53.4,50.7,47,53.7,57.8,54.9,44.6,39.1
1985,37.3,54.3,26,49.8,60.3,51.4,51.4,57.4,53.6,55,45.6,37.9
1986,37.7,49.7,54.8,43.9,48.3,40.3,43,53.5,37.7,40.3,24.8,-0.4
1987,-1.2,-1,16.5,17.6,13.3,24.5,12.5,25.8,43.8,33.7,37.4,17.6
1988,21,23.6,44,40.9,51.4,57.3,59.8,67.9,70.4,65.2,65.8,61.5
1989,61.1,61.2,57.4,47.2,49.1,53.8,52,57.7,62.2,55.9,37.8,34.5
1990,19.8,19.8,14.7,25.8,42.3,45.5,43,39.9,43.3,50.3,40.7,29.7
1991,27.9,25.7,30.8,36.9,41.9,40.5,38.9,34.5,42.5,42.9,8.8,8.6
1992,0.6,14.8,5.4,11.8,14.6,28,39.1,46.8,53.1,44.2,30.8,13.3
1993,23.5,9.7,21.7,5.4,19.7,22.4,25.9,40.6,40.1,28.3,45.9,26.8
1994,33.5,44.7,41.3,32,40.5,45.4,41.5,41.2,37.5,43.3,25.7,-6.9
1995,8.5,25.2,36.7,40.3,46,50.6,52.1,61.9,59.5,66,60.7,52.8
1996,61.7,60.4,53.5,43.5,49.2,51.8,53.4,58.9,63.9,59.5,56.1,47.3
1997,41.9,42.5,21.6,19,16.3,29.7,22.8,24.8,32.8,12.2,38.8,14.4
1998,24,30.2,39.2,53.3,37.4,42.9,53.3,60.7,68.2,64.3,64,57.3
1999,62.5,54.5,59.8,53.3,53.8,52.1,49.6,61.5,69.4,65.9,59,65.3
2000,62,68.8,64.3,55.2,48.5,55.9,57.9,48.8,62.4,57.5,58.2,52.2
2001,58.7,44.7,49.5,37.6,39.8,44,45.9,44.6,58.3,50.3,41.2,8.7
2002,31.7,16,22.1,41.3,45,32,49.3,25.9,24.1,29.4,20,12.9
2003,-0.9,18.5,24.7,42.3,44.1,56.1,42.2,57.9,53.1,51.9,55.2,36
2004,21.3,41.7,29.2,24.1,46.6,26.9,48.3,44.6,48.8,47.3,36.1,35.7
2005,32.5,0.3,37.1,29.4,39.4,45.5,36.7,56,51.9,52,54.5,50.2
2006,47.9,40.8,53.5,41.9,53.3,37.4,46.6,42.9,46.5,35.7,36.8,25.4
2007,12.3,34.1,43.1,36.1,43.7,49.8,56.4,56.1,61.5,67.1,51.4,60.2
2008,44.1,67.9,66.1,56.5,57.2,48.4,53.8,55.9,55.7,63.1,56.2,62.2
2009,54.5,55.8,51.7,48.1,52.3,48.4,53.8,55.9,55.7,63.1,56.2,-2.7
2010,2.1,-0.6,14.4,32.6,52.7,59.3,58.2,65.6,74.2,72.8,70.8,71.3
2011,66.2,70.9,64.1,53.9,46.8,42.1,46.2,53.6,56.3,66.8,59.9,60
2012,61.2,63.9,50.3,39.3,42,45.8,33.1,51.9,45.9,46.5,44.9,44.8
2013,29.9,36.6,33.4,47.1,52.3,49.2,55.2,63.6,58.1,53.5,56,48.4
2014,38.6,38.2,19.7,22.3,40.7,32.2,43.5,55.5,54.5,49,50.3,37.8
2015,36.6,32.8,8,21.1,28.3,21.2,39.8,27.6,28.1,28.4,23.7,-4.3
2016,2.9,-2.6,12.3,22.9,40.2,44.8,52.7,62.1,65.4,66.1,66.6,55.3
2017,49.5,56.6,54.1,43.1,44.8,53,37.5,54.1,63.9,60.9,61.9,48.5
2018,61.6,35.1,45.4,56.2,57.8,59.8,49.3,55.7,57.5,56.6,39.8,32.4
2019,24,6.4,18.2,24.3,32.2,38.6,48.2,50.7,62,58.4,45.9,34.1
2020,23.5,14.7,38.8,48.2,54,61.3,58.7,63.7,66.5,68.4,67.1,64.7
