Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1979,15.5,14.9,14,7.5,7.4,3.8,-3.8,-7,-2.6,5.9,4.9,10.5
1980,13.6,7.9,12.9,7.4,3.7,-0.4,0.2,-2.2,-2.4,4.4,8.8,12.2
1981,12,17,8.2,13.6,8.4,7.8,2.8,-6.1,0.4,1.7,9.6,21.2
1982,18.6,14.5,12.2,7.3,1,0.5,-3.5,-4.5,-7.1,-3.1,1.7,-0.2
1983,0.8,0.3,-6.1,-6.8,-1.5,0.2,-2.4,0.2,-0.9,5.8,12,13.6
1984,9.8,13.8,5.5,6.2,9.4,4.3,4.5,2.7,-1.8,8.3,11.6,16.6
1985,14.4,19.9,19.2,11.3,7.6,4.6,-2.7,-3.2,-2.3,-2,9.8,13
1986,15.1,8,8.8,18.6,6.7,1,-0.2,-0.3,-1.9,-1.6,4.9,9.8
1987,11.9,12,4.9,2.3,-1.5,-1.1,-5.4,-5.6,-5.1,-1.5,3.3,11.7
1988,12.5,17.5,11.4,10.4,11.2,4.4,4.2,-4.8,7.1,14.1,19.9,22.4
1989,23.3,26.1,14.9,17.3,11.5,4.1,1.7,-4.3,-7.2,7.3,15.4,16
1990,23,11.6,16.7,12.7,5.6,2.7,-1.6,0,-1.1,-0.1,8,9.8
1991,13.2,12.9,9.6,7.5,0.3,-1.3,-2.7,0,-4.9,-0.8,6.5,8.5
1992,12.2,2.3,3.6,3.2,0.4,0,-2.1,0,-6.3,4.2,5.6,15.3
1993,6.9,7.5,9.7,5.2,-1.2,-2.2,0.4,-6.4,-6.2,0.5,1.9,12.3
1994,14.3,14.1,11.6,7.1,2.4,0.7,0.1,-3,-5.8,-8,3.5,13.4
1995,12.6,7.8,11.3,5.7,4.8,-1.2,-4.9,-6.1,-3.5,0.7,11.4,10.5
1996,18.5,14.4,8.8,10.1,7.2,2.7,2,-2.9,-3.2,0.2,7.2,16.3
1997,15.3,20.3,16.2,10.7,4.3,-4.2,-4.6,-5.8,-6.9,-4.1,-4.5,-0.6
1998,-2.7,-2.8,-5.7,-6.4,1,3.3,2.1,-5.7,-3.7,3.5,12.9,15.8
1999,23.5,20,10.1,7.8,7.4,0.4,4.8,-5.2,-9.2,5.4,14.8,22.4
2000,20,19.5,12.8,8,6.2,7.8,-0.8,2,-7.1,6.2,10.6,15.5
2001,18.2,26.3,12.1,6.4,6.8,2.7,-0.3,3.1,-6.1,1.9,12.4,16.5
2002,17.9,22.8,10.9,8.3,2.2,2.2,-2.6,0.7,-4.1,0.5,6.4,8.2
2003,13.1,8.9,8.1,5.6,8.7,-2.1,3.9,-3.4,-4.9,3.1,5.5,16
2004,12.4,14.6,16.9,10.1,8.1,5.6,-4.2,-2.1,-7.5,-0.1,4.3,9.4
2005,16.5,11.2,4.7,6.4,4.9,-1.3,2,-5.8,-1,3.2,8.6,11.8
2006,22.4,17.1,15.1,11,4.4,0.3,-2.2,-2.2,-2.1,-3.5,2.6,6.7
2007,14.4,10.2,14,9.9,4.2,7.1,-0.2,-2,4.1,3.2,16.1,16.5
2008,22,23.6,15.5,15.3,7.6,3.9,-0.4,-3,-1.3,1.1,15.3,21.8
2009,17.6,20.9,16.7,9.3,3.3,0,2.8,-5.7,3.9,-4.2,3.8,7.2
2010,9.7,10,5.1,5.3,6.6,1.4,-0.3,0.2,-4.4,10.2,14.6,22.5
2011,27.3,24.3,19.8,17,13.2,7.5,6.3,-0.9,1.2,0.6,10.5,24.9
2012,25.9,17.5,19,11.1,7.6,3.7,1.3,-6.1,2.4,0.8,8.7,11.3
2013,21.3,14,16.3,13,6.8,4.1,1.9,-7.5,0.3,3.2,8,19.7
2014,20.2,17.9,11.2,7.5,1.1,3.1,-1.5,-8.2,-3.5,0.7,2.3,9.8
2015,11.8,18.2,15.3,2.9,-2.5,0.1,-5,-4.9,-7.3,-6.7,-0.4,6.1
2016,6,9,7.8,2.5,1.4,0,-1.4,0.6,-0.7,1.7,12.9,13.1
2017,16.9,13.2,14.2,5.9,3.3,-0.3,-1.2,-4.2,-4.6,6.5,13.2,14.6
2018,18.9,17.5,19.8,12.6,5.9,-2.9,3,-3,-5.6,-0.9,7.8,14.4
2019,17.6,13,10.6,9.9,3.1,4.4,-4,-2.2,-8.5,-2.3,8,9.8
2020,20.1,20.5,15.5,12.4,9.9,2,3,-2.5,4,9.3,10.3,24.5
