Date,NINO1+2,NINO3,NINO4,NINO3.4
1950-1,23.01,23.56,26.94,24.55
1950-2,24.32,24.89,26.67,25.06
1950-3,25.11,26.36,26.52,25.87
1950-4,23.63,26.44,26.9,26.28
1950-5,22.68,25.69,27.73,26.18
1950-6,21.33,25.51,28.13,26.46
1950-7,20.31,24.91,27.64,26.29
1950-8,20.12,24.47,27.54,25.88
1950-9,19.56,24.01,27.27,25.74
1950-10,19.99,24.17,27.13,25.69
1950-11,19.85,23.86,26.99,25.47
1950-12,21.72,24.15,27.14,25.29
1951-1,24.11,24.79,27.21,25.24
1951-2,25.19,25.65,27.09,25.71
1951-3,25.74,26.87,27.74,26.9
1951-4,25.29,27.37,28.21,27.58
1951-5,24.59,27.07,29.18,27.92
1951-6,24.61,26.66,29.05,27.73
1951-7,23.82,26.42,29.12,27.6
1951-8,22.18,25.52,28.53,27.02
1951-9,21.29,25.36,28.64,27.23
1951-10,21.74,25.58,28.54,27.2
1951-11,22.34,25.91,28.65,27.25
1951-12,22.83,25.84,28.58,26.91
1952-1,24.36,25.8,28.28,26.67
1952-2,26.02,26.37,28.04,26.74
1952-3,26.08,27.05,27.98,27.17
1952-4,24.44,27.27,28.47,27.8
1952-5,23.48,26.64,28.67,27.79
1952-6,21.93,25.7,28.49,27.18
1952-7,20.73,24.82,28.12,26.53
1952-8,19.89,24.44,28,26.3
1952-9,19.37,24.26,28.39,26.36
1952-10,20.37,24.36,28.06,26.26
1952-11,20.83,24.07,28.16,25.92
1952-12,22.31,24.67,27.84,26.21
1953-1,24.13,25.72,27.97,26.74
1953-2,26.27,26.63,27.98,27
1953-3,27.22,27.52,28.03,27.57
1953-4,27,27.72,28.49,28.04
1953-5,25.43,27.37,28.92,28.28
1953-6,23.43,26.88,29.15,28.12
1953-7,21.96,25.74,28.84,27.43
1953-8,21.18,25.06,28.57,26.94
1953-9,21.06,25.19,28.3,27.01
1953-10,20.84,25.1,28.66,26.87
1953-11,21.51,25.15,28.59,26.88
1953-12,22.22,25.43,28.57,27
1954-1,22.66,25.5,28.36,26.98
1954-2,24.88,26.27,28.17,27.03
1954-3,25.17,26.56,27.97,26.9
1954-4,22.45,25.61,27.92,26.64
1954-5,21.43,25.62,28.21,27.12
1954-6,20.66,25.04,28.17,26.8
1954-7,19.13,24.35,27.81,26.11
1954-8,19.31,23.56,27.63,25.43
1954-9,19.02,23.17,27.49,25.12
1954-10,18.98,23.32,27.28,25.23
1954-11,20.2,23.64,27.54,25.57
1954-12,21.34,23.68,27.3,25.26
1955-1,23.72,24.8,27.41,25.61
1955-2,24.97,25.7,27.11,25.81
1955-3,25.12,26.3,27.09,26.22
1955-4,24.3,26.27,27.57,26.6
1955-5,22.26,25.43,27.82,26.66
1955-6,21.2,24.93,28.01,26.55
1955-7,20.52,24.4,28.04,26.15
1955-8,19.46,23.66,27.54,25.51
1955-9,19.26,23.22,27.41,25.28
1955-10,19.2,22.58,26.76,24.41
1955-11,19.83,22.71,26.69,24.25
1955-12,21.12,23.14,27.09,24.57
1956-1,23.26,24.6,27.04,25.34
1956-2,24.9,25.7,27.01,25.76
1956-3,25.73,26.67,27.22,26.46
1956-4,24.39,26.92,27.53,26.85
1956-5,23.21,26.49,28,27.13
1956-6,22.19,25.77,28.18,26.81
1956-7,21.82,24.78,27.86,26.23
1956-8,20.57,24.06,27.33,25.68
1956-9,19.72,23.88,27.34,25.73
1956-10,19.82,23.91,27.64,25.75
1956-11,20.59,23.77,27.89,25.56
1956-12,21.49,24.02,27.89,25.71
1957-1,22.9,24.94,27.71,26.04
1957-2,26.17,26.2,27.72,26.54
1957-3,27.27,27.47,27.87,27.46
1957-4,26.66,27.86,28.57,28.23
1957-5,26.82,27.79,28.93,28.55
1957-6,25.14,27.31,28.59,28.36
1957-7,23.82,26.88,28.34,28.17
1957-8,22.2,26,28.75,27.69
1957-9,21.64,25.55,28.65,27.44
1957-10,21.64,25.6,28.78,27.42
1957-11,22.21,26.01,28.76,27.62
1957-12,23.47,26.48,28.88,27.9
1958-1,24.7,26.96,29.05,28.33
1958-2,26.36,27.44,29.12,28.24
1958-3,26.96,27.72,28.99,28.27
1958-4,26.25,27.81,28.9,28.27
1958-5,24.54,27.29,28.98,28.31
1958-6,23.1,26.57,28.99,27.99
1958-7,22.02,25.56,28.83,27.32
1958-8,20.59,24.91,28.65,26.85
1958-9,20.32,24.39,28.61,26.4
1958-10,20.82,24.48,28.77,26.45
1958-11,21.28,24.89,28.67,26.75
1958-12,22.31,24.81,28.65,26.62
1959-1,23.69,25.58,28.37,27.07
1959-2,25.63,26.35,27.99,27.18
1959-3,26.83,27.07,28,27.47
1959-4,25.66,27.45,28.45,27.88
1959-5,24.02,26.84,28.66,27.7
1959-6,22.5,26.07,28.52,27.37
1959-7,21.39,24.95,28.27,26.44
1959-8,19.99,24.25,28.25,26.09
1959-9,20.11,24.17,28.2,25.92
1959-10,20.72,24.54,28.32,26.24
1959-11,21.76,24.57,28.04,26.04
1959-12,22.58,24.75,28.03,26.18
1960-1,24.23,25.31,27.62,26.27
1960-2,25.68,25.93,27.44,26.29
1960-3,26.24,26.87,27.75,26.98
1960-4,24.43,27.15,28.01,27.49
1960-5,23.33,26.71,28.42,27.68
1960-6,21.71,25.86,28.33,27.24
1960-7,20.64,25.21,28.15,26.88
1960-8,19.99,24.79,28.06,26.7
1960-9,20.46,24.57,28.05,26.44
1960-10,20.11,24.11,28.16,26.22
1960-11,21.06,24.16,28.32,26.26
1960-12,22.52,24.57,28.41,26.22
1961-1,24.49,25.11,27.97,26.23
1961-2,26.56,26.2,27.79,26.56
1961-3,25.76,26.82,27.79,26.94
1961-4,24.75,27.31,27.91,27.36
1961-5,23.49,26.99,28.28,27.75
1961-6,22.15,26.29,28.46,27.67
1961-7,20.43,24.83,28.19,26.89
