DATE,f33_drought_Maybell_D0,f33_drought_Maybell_D1,f33_drought_Maybell_D2,f33_drought_Maybell_D3,f33_drought_Maybell_D4,f33_drought_Maybell_W0,f33_drought_Maybell_W1,f33_drought_Maybell_W2,f33_drought_Maybell_W3,f33_drought_Maybell_W4
19800101,3.2,0,0,0,0,78.9,56.7,25.7,0,0
19800201,0,0,0,0,0,52.5,36.2,4.4,0,0
19800301,0,0,0,0,0,87,73.2,36,8.8,0
19800401,0.6,0,0,0,0,84.6,65.4,33.8,12.9,0
19800501,0,0,0,0,0,95.8,83.4,41.6,23.1,2.9
19800601,0,0,0,0,0,97.7,85.4,45,25,3.5
19800701,0,0,0,0,0,89.5,50.9,19.4,0.3,0
19800801,0,0,0,0,0,93.7,56.6,20.6,2.5,0
19800901,0,0,0,0,0,98.3,72,24.4,1.6,0
19801001,0.1,0,0,0,0,40,22.6,0,0,0
19801101,2.4,0,0,0,0,10.3,0,0,0,0
19801201,41.6,21.7,6.7,0.5,0,0,0,0,0,0
19810101,41.4,25.7,7.4,0.8,0,0,0,0,0,0
19810201,99.9,99.6,77.4,41.4,22.6,0,0,0,0,0
19810301,98.3,75.1,19.6,0.9,0,0,0,0,0,0
19810401,89.6,76.6,41.6,10.7,0,0,0,0,0,0
19810501,7,0.3,0,0,0,12.4,6.8,0,0,0
19810601,0.3,0,0,0,0,12.9,6.8,0,0,0
19810701,0.1,0,0,0,0,15.6,9.2,0,0,0
19810801,0,0,0,0,0,13.8,5.9,0,0,0
19810901,0,0,0,0,0,19.5,5.5,0,0,0
19811001,0,0,0,0,0,100,100,92.8,31.8,0
19811101,0,0,0,0,0,100,100,91.4,27.4,0
19811201,0,0,0,0,0,100,100,78.8,40.9,0
19820101,0,0,0,0,0,100,100,97.9,69.6,20.9
19820201,0,0,0,0,0,98.8,40.2,0,0,0
19820301,0,0,0,0,0,99.9,78.1,7.4,0,0
19820401,0,0,0,0,0,88,66.3,20.9,8.3,0
19820501,0,0,0,0,0,100,88.4,29.3,9.3,0
19820601,0,0,0,0,0,100,92.5,0,0,0
19820701,2.9,0,0,0,0,0.2,0,0,0,0
19820801,0,0,0,0,0,9.2,1.6,0,0,0
19820901,0,0,0,0,0,100,82.7,0.8,0,0
19821001,0,0,0,0,0,98.1,70.7,0,0,0
19821101,0,0,0,0,0,100,99.7,44.6,0,0
19821201,0,0,0,0,0,100.1,94,15.5,0,0
19830101,0,0,0,0,0,99.1,82.2,14.6,1.4,0
19830201,0,0,0,0,0,96.6,69.9,15.3,7.8,0
19830301,0,0,0,0,0,100,97.1,45.4,19.1,3.5
19830401,0,0,0,0,0,93.3,82.7,52.5,25.2,4.2
19830501,0,0,0,0,0,100,96.7,65.5,36,4
19830601,0,0,0,0,0,97.2,69.3,3.6,0,0
19830701,0,0,0,0,0,96.9,83.1,21.4,0,0
19830801,0,0,0,0,0,85.7,69.1,0.2,0,0
19830901,0,0,0,0,0,86.2,64.2,14.3,5.5,0
19831001,0,0,0,0,0,99.9,96.1,53.5,16.9,0
19831101,0,0,0,0,0,100,100,100,86.1,17.2
19831201,0,0,0,0,0,100,100,100,99.6,82.2
19840101,0,0,0,0,0,100,100,100,95.9,80.2
19840201,0,0,0,0,0,100,100,92,83.2,59.8
19840301,0,0,0,0,0,99.9,97.1,71.6,65.2,55.2
19840401,0,0,0,0,0,100,97.4,79.4,67,56
19840501,0,0,0,0,0,94.8,83.4,59.4,51.2,32.8
19840601,0,0,0,0,0,100,98.6,80.1,68.8,54.1
19840701,0,0,0,0,0,100.1,100.1,92.1,74.6,59.8
19840801,0,0,0,0,0,98.7,87.2,69.9,60,40.9
19840901,0,0,0,0,0,97.6,88,53.6,32.2,0.3
19841001,0,0,0,0,0,98.8,91.9,54.1,40.9,13.8
19841101,0,0,0,0,0,98.8,82.2,46.6,32.7,10.5
19841201,0,0,0,0,0,99.9,99.9,70.9,36.6,8.1
19850101,0,0,0,0,0,100,100,72.9,31.4,4.1
19850201,0,0,0,0,0,100,100,91.8,56.9,11.4
19850301,0,0,0,0,0,100,100,44.7,21.7,0
19850401,0,0,0,0,0,100,93.1,39.4,24.6,3.2
19850501,0,0,0,0,0,86.8,47.7,6.6,1.9,0
19850601,0,0,0,0,0,52.2,22.6,0,0,0
19850701,0,0,0,0,0,100,87.9,7.4,0,0
19850801,0,0,0,0,0,95.3,53.4,1.5,0,0
19850901,0,0,0,0,0,66,3.9,0,0,0
19851001,0,0,0,0,0,98.6,45.3,2.3,0,0
19851101,0,0,0,0,0,100,99.5,40.2,10.8,1.1
19851201,0,0,0,0,0,99.5,89.8,22.3,5.8,0
19860101,0,0,0,0,0,93.8,45.6,0,0,0
19860201,0,0,0,0,0,99.8,74.4,14.7,5.1,0
19860301,0,0,0,0,0,100,81.7,24.5,9,0.6
19860401,0,0,0,0,0,79.7,49,16.5,8.2,2.5
19860501,0,0,0,0,0,99.9,76.5,15.4,6.5,0
