Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1979,6.3,10,9.8,7.9,7.8,9.2,6.9,6.9,6.7,5.9,8.6,7.9
1980,6.9,7.5,3.8,5.7,5.2,6.8,9,11.1,10.4,10.4,9.2,10.6
1981,11.2,8.1,8.9,6.8,9.7,9.1,11.5,9.6,12.1,8.7,9.5,9.7
1982,10.1,8.3,7.5,6.1,5.5,6.4,6.8,6.4,2.7,0.7,-1.3,0.1
1983,1.9,2.4,-0.2,-0.2,2.7,5.8,8.3,10.2,10.3,9.8,7.8,10.8
1984,11.7,11.4,7.1,9.3,8.9,9.8,10,9.7,8,10.1,8.9,10.1
1985,8.6,13.1,10.3,9.5,10.2,9.1,8.5,9.9,9.8,7,6.3,7.3
1986,10.8,8.5,11.2,8.5,7.7,9.6,7.5,6.4,6.6,6,4.6,5.8
1987,7.6,5.1,5,3.3,2.2,5.2,4.2,5.5,6.8,5.7,6.9,7.5
1988,10,8.5,10,8.2,10.2,9.8,11.9,10.7,13.4,11.6,12.1,11.2
1989,12.4,10.9,10.8,10.5,10,8.1,9.8,8.8,7.5,9.8,7.6,6.3
1990,8.7,6.1,8.1,8.1,8.1,8.8,7.1,9,7.5,7.2,6.5,6.9
1991,8.8,9.7,8,8.1,6.4,6.4,7.6,8.3,5.6,6,3.5,2
1992,1.2,3.8,2.4,2.9,5,7.5,6.4,8.3,5.8,7.1,4.5,6
1993,6.6,6.7,7.4,5.3,5.9,6.1,8.2,6.6,6.5,6.1,6.4,9.3
1994,9.9,10.9,8.5,8.1,7.3,8.7,7.3,7.1,6.2,3.8,3.9,7.4
1995,9.7,7.5,9.3,8,8.7,8.7,9.1,9.9,8.8,7.9,8.4,6.8
1996,11.3,12.1,10.7,9,9.1,9.5,9.8,8.2,9.3,8,8.3,9.9
1997,8.7,11.3,6.8,5.8,5.9,1.3,6.8,3.3,0.7,-3.2,-0.7,2.6
1998,2.3,2.3,1.8,2.5,6.5,8,9.8,9,8.4,10.2,10.3,11.6
1999,12.4,11.6,10.6,9.4,9.3,8.8,10.7,9.7,7.5,9.2,10.3,11.3
2000,12.4,13.5,10.3,9.4,8.7,9,8.2,9.9,7,9.2,8.8,9.7
2001,11.4,12.6,9.4,9.2,8.4,8.5,8,9.1,6.4,6.7,8.9,8.4
2002,9.3,9.4,10.2,8,6.9,8.1,6.1,7.9,5.1,5.6,7.9,7.1
2003,9.2,8.4,8.8,8.8,8.3,6.4,9.2,7.7,7,6.6,7.4,10.6
2004,8.3,11.1,10.4,8.8,8.6,9.3,6.6,8.3,7.7,6.8,7.6,6.9
2005,9.9,7.5,8.2,9.2,7.5,8.3,9.4,7.6,8.1,8.5,8.5,10.3
2006,12.1,10.8,10.3,9.1,7.4,9,7.2,7.2,8.2,5.2,6.1,9.2
2007,10.6,11,10.6,9.7,8.7,10.1,8.5,9.5,11.2,8.7,11.2,11.6
2008,12.5,12.2,10.3,9.5,8.9,9.1,8.6,8.8,9,8.3,10.3,11
2009,10.7,11.7,9.3,8.8,7.7,6.6,9.3,7,8.7,4.3,6.8,5.7
2010,8.9,6.1,8.6,7.1,8.9,8.7,10.2,10.4,9.2,11.1,10,13.5
2011,10.9,11.4,11,9.4,9.1,9.5,9.9,9.6,10.6,7.3,10.3,11.5
2012,11.5,10.1,10.7,9.2,9.1,7.3,8.8,7.8,8.6,6.6,8.4,8.5
2013,10,10.6,9.5,9.1,7.5,8,8.4,7.4,8.6,6.6,7.3,8.9
2014,9.9,8,7.8,7.5,6.5,8.6,8.5,6.3,7.5,6.3,5.6,7.9
2015,7.2,7.9,7.8,6,4.7,6.4,2.8,5.1,5.2,1.2,4.3,5.4
2016,3.7,7.8,7.9,7.1,7.8,6.9,7.9,9,8.4,7.7,7.8,8.2
2017,9.8,10.1,10.7,7.4,7.7,7,9.3,8.4,8.1,7.9,9.5,9.2
2018,11.4,8.4,11.8,9.3,7.9,5.7,8.7,6.7,5.9,5,6.5,9.1
2019,8.4,7.2,8.2,8.8,6.4,8.9,6.8,9.7,5.6,6.4,7,7.6
2020,8.9,8.9,10.9,10.4,10.6,8.4,10.9,9.4,11.3,11.3,10.7,12.7
2021,13.3,12.5,10.4,10.6,12,8,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9
