Date,f3_SnowPack_Data
1980-01,0
1980-02,1.24
1980-03,1.29
1980-04,1.38
1980-05,1.46
1980-06,0
1980-07,0
1980-08,0
1980-09,0
1980-10,0
1980-11,0
1980-12,0
1981-01,0
1981-02,0.36
1981-03,0.41
1981-04,0.59
1981-05,0.25
1981-06,0
1981-07,0
1981-08,0
1981-09,0
1981-10,0
1981-11,0
1981-12,0
1982-01,1.54
1982-02,1.52
1982-03,1.24
1982-04,1.36
1982-05,1.47
1982-06,1.78
1982-07,0
1982-08,0
1982-09,0
1982-10,0
1982-11,0
1982-12,0
1983-01,1.23
1983-02,0.97
1983-03,0.95
1983-04,1.1
1983-05,1.45
1983-06,3.02
1983-07,0
1983-08,0
1983-09,0
1983-10,0
1983-11,0
1983-12,0
1984-01,2.16
1984-02,1.53
1984-03,1.25
1984-04,1.31
1984-05,1.72
1984-06,1.49
1984-07,0
1984-08,0
1984-09,0
1984-10,0
1984-11,0
1984-12,0
1985-01,1.52
1985-02,1.23
1985-03,1.04
1985-04,1.1
1985-05,1.17
1985-06,1.26
1985-07,0
1985-08,0
1985-09,0
1985-10,0
1985-11,0
1985-12,0
1986-01,1.69
1986-02,1.22
1986-03,1.32
1986-04,1.23
1986-05,1.31
1986-06,1.46
1986-07,0
1986-08,0
1986-09,0
1986-10,0
1986-11,0
1986-12,0
1987-01,0.83
1987-02,0.77
1987-03,0.71
1987-04,0.8
1987-05,0.49
1987-06,0.72
1987-07,0
1987-08,0
1987-09,0
1987-10,0
1987-11,0
1987-12,0
1988-01,0.89
1988-02,1.11
1988-03,1.09
1988-04,1.14
1988-05,1.09
1988-06,1.29
1988-07,0
1988-08,0
1988-09,0
1988-10,0
1988-11,0
1988-12,0
1989-01,1.17
1989-02,0.99
1989-03,1.04
1989-04,0.98
1989-05,0.72
1989-06,0.64
1989-07,0
1989-08,0
1989-09,0
1989-10,0
1989-11,0
1989-12,0
1990-01,1.02
1990-02,0.92
1990-03,0.9
1990-04,0.94
1990-05,0.74
1990-06,1.09
1990-07,0
1990-08,0
1990-09,0
1990-10,0
1990-11,0
1990-12,0
1991-01,0.83
1991-02,0.86
1991-03,0.83
1991-04,1.05
1991-05,1.26
1991-06,1.39
1991-07,0
1991-08,0
1991-09,0
1991-10,0
1991-11,0
1991-12,0
1992-01,0.91
1992-02,0.81
1992-03,0.84
1992-04,0.87
1992-05,0.56
1992-06,0.35
1992-07,0
1992-08,0
1992-09,0
1992-10,0
1992-11,0
1992-12,0
1993-01,1.09
1993-02,1.18
1993-03,1.23
1993-04,1.22
1993-05,1.63
1993-06,2.04
1993-07,0
1993-08,0
1993-09,0
1993-10,0
1993-11,0
1993-12,0
1994-01,1.01
1994-02,0.92
1994-03,0.92
1994-04,0.85
1994-05,0.87
1994-06,0.64
1994-07,0
1994-08,0
1994-09,0
1994-10,0
1994-11,0
1994-12,0
1995-01,0.92
1995-02,0.99
1995-03,0.98
1995-04,1
1995-05,1.35
1995-06,3.69
1995-07,0
1995-08,0
1995-09,0
1995-10,0
1995-11,0
1995-12,0
1996-01,1.29
1996-02,1.56
1996-03,1.54
1996-04,1.43
1996-05,1.57
1996-06,1.83
1996-07,0
1996-08,0
1996-09,0
1996-10,0
1996-11,0
1996-12,0
1997-01,1.8
1997-02,1.85
1997-03,1.54
1997-04,1.33
1997-05,1.62
1997-06,2.19
1997-07,0
1997-08,0
1997-09,0
1997-10,0
1997-11,0
1997-12,0
1998-01,0.78
1998-02,0.96
1998-03,1.01
1998-04,1
1998-05,1.14
1998-06,1.11
1998-07,0
1998-08,0
1998-09,0
1998-10,0
1998-11,0
1998-12,0
1999-01,0.68
1999-02,0.97
1999-03,0.99
1999-04,0.85
1999-05,1.04
1999-06,1.46
1999-07,0
1999-08,0
1999-09,0
1999-10,0
1999-11,0
1999-12,0
2000-01,0.71
2000-02,0.96
2000-03,1.07
2000-04,1.11
2000-05,0.88
2000-06,0.51
2000-07,0
2000-08,0
2000-09,0
2000-10,0
2000-11,0
2000-12,0
2001-01,1.11
2001-02,0.88
2001-03,0.88
2001-04,0.88
2001-05,0.77
2001-06,0.52
2001-07,0
2001-08,0
2001-09,0
2001-10,0
2001-11,0
2001-12,0
2002-01,0.8
2002-02,0.75
2002-03,0.73
2002-04,0.75
