Date,naturalflow_Yampa_09251000,naturalflow_Yampa_09251000_t_plus_1_month
1980-02,26768,33039
1980-03,33039,172493
1980-04,172493,521415
1980-05,521415,401829
1980-06,401829,106506
1980-07,106506,38071
1980-08,38071,19734
1980-09,19734,15965
1980-10,15965,14720
1980-11,14720,12706
1980-12,12706,12127
1981-01,12127,14783
1981-02,14783,23432
1981-03,23432,68884
1981-04,68884,191437
1981-05,191437,208190
1981-06,208190,55757
1981-07,55757,30493
1981-08,30493,17654
1981-09,17654,21417
1981-10,21417,17565
1981-11,17565,19490
1981-12,19490,19797
1982-01,19797,22763
1982-02,22763,46629
1982-03,46629,150012
1982-04,150012,431951
1982-05,431951,455276
1982-06,455276,208415
1982-07,208415,60272
1982-08,60272,28875
1982-09,28875,43352
1982-10,43352,32440
1982-11,32440,22035
1982-12,22035,20789
1983-01,20789,20383
1983-02,20383,56806
1983-03,56806,110034
1983-04,110034,378927
1983-05,378927,604269
1983-06,604269,268963
1983-07,268963,81966
1983-08,81966,31683
1983-09,31683,37593
1983-10,37593,32886
1983-11,32886,28225
1983-12,28225,27841
1984-01,27841,25169
1984-02,25169,36437
1984-03,36437,193749
1984-04,193749,874841
1984-05,874841,665052
1984-06,665052,241122
1984-07,241122,82131
1984-08,82131,45807
1984-09,45807,47096
1984-10,47096,43568
1984-11,43568,37435
1984-12,37435,29633
1985-01,29633,28134
1985-02,28134,66938
1985-03,66938,352968
1985-04,352968,593288
1985-05,593288,354401
1985-06,354401,105629
1985-07,105629,53655
1985-08,53655,25409
1985-09,25409,44649
1985-10,44649,42418
1985-11,42418,32745
1985-12,32745,30532
1986-01,30532,61108
1986-02,61108,128618
1986-03,128618,292320
1986-04,292320,471234
1986-05,471234,456011
1986-06,456011,157618
1986-07,157618,55517
1986-08,55517,40133
1986-09,40133,48370
1986-10,48370,44632
1986-11,44632,26581
1986-12,26581,18685
1987-01,18685,27653
1987-02,27653,68616
1987-03,68616,168236
1987-04,168236,282857
1987-05,282857,125100
1987-06,125100,48622
1987-07,48622,34701
1987-08,34701,27508
1987-09,27508,18729
1987-10,18729,20504
1987-11,20504,11632
1987-12,11632,15632
1988-01,15632,15701
1988-02,15701,22914
1988-03,22914,166163
1988-04,166163,347808
1988-05,347808,301553
1988-06,301553,79063
1988-07,79063,38174
1988-08,38174,20717
1988-09,20717,22143
1988-10,22143,15246
1988-11,15246,18898
1988-12,18898,13390
1989-01,13390,11865
1989-02,11865,62106
1989-03,62106,154107
