Date,f5_Steamboat_maxt,f5_Steamboat_mint,f5_Steamboat_pcpn,f5_Steamboat_snow
1980-02,35.8,10.4,2.73,22.7
1980-03,38.8,13.6,2.92,35.1
1980-04,51.5,21.2,1.14,8.3
1980-05,62.6,32.9,2.76,2.7
1980-06,78.8,32.9,0.1,0
1980-07,84.3,42.4,0.75,0
1980-08,79.9,39.4,1.29,0
1980-09,73.2,33.5,1.04,0
1980-10,58.4,23.2,1.62,9.4
1980-11,47.5,16.5,0.85,5.3
1980-12,42.7,15.7,0.8,10.2
1981-01,42.8,12.1,0.76,11.4
1981-02,39,7.9,1.42,22.7
1981-03,45.4,20.6,2.54,30.1
1981-04,60.9,27,0.63,0
1981-05,60.2,34.1,5.42,0
1981-06,76.2,38.4,1.61,0
1981-07,81.1,43.8,2.56,0
1981-08,80.1,40.4,0.79,0
1981-09,75.9,36.4,1.4,0
1981-10,54.1,27.7,4.29,13.8
1981-11,46.5,18,1.15,14.7
1981-12,33,10.1,4.16,64.8
1982-01,28,4.5,3.16,62.2
1982-02,31.7,0.6,1.19,16.7
1982-03,42,18.7,2.91,31
1982-04,50.3,20.6,1.57,8.4
1982-05,61.1,30.6,1.6,M
1982-06,72.4,31.6,0.57,0
1982-07,80.5,40.3,1.97,0
1982-08,81.4,43.6,1.37,0
1982-09,68.1,36.6,2.63,0
1982-10,53.6,25,2.04,7.3
1982-11,37.8,12.8,2.06,23.6
1982-12,28.7,5.1,2.04,27.5
1983-01,31.9,4.7,1.35,18.9
1983-02,36.7,10.9,2.29,32
1983-03,42.5,20.7,2.8,27.1
1983-04,46.8,20.1,3.23,11
1983-05,58.7,30.8,3.05,10.3
1983-06,70.7,36.9,3.45,0
1983-07,79.5,42.5,2.13,0
1983-08,82.4,44.6,1.57,0
1983-09,73.7,33.9,0.88,0
1983-10,60.1,26.6,2.66,2.1
1983-11,39.6,18.3,4.08,57
1983-12,27,9.4,6.79,92.6
1984-01,24.9,-5.8,0.8,15.6
1984-02,31.7,1.3,1.04,17.2
1984-03,38.9,15.9,2.93,27.3
1984-04,45.1,20.6,3.83,20.6
1984-05,65.7,32.3,1.9,4.4
1984-06,70.4,36.2,3.9,0
1984-07,80.5,44.2,1.3,0
1984-08,79.5,43.5,1.52,0
1984-09,68.4,34.6,2.33,3.2
1984-10,49.7,25.8,2.59,22.1
1984-11,42.9,16.8,2.1,23.5
1984-12,30.7,7.5,1.94,26.6
1985-01,26.1,-1.1,2.12,32.3
1985-02,27.9,-1.8,1.69,21.2
1985-03,41.6,16.6,2.55,18.4
1985-04,56,25.2,4.16,32
1985-05,65.7,31.1,1.64,0
1985-06,78.1,37.2,1.02,0
1985-07,81.2,45.4,1.77,0
1985-08,82,39.5,0.83,0
1985-09,67.5,33.8,2.37,T
1985-10,58.6,25.2,2.58,7
1985-11,36.9,16.3,5.59,53.5
1985-12,26.5,2.9,1.99,23.2
1986-01,31,2.5,0.74,7
1986-02,36,14,4.69,26.5
1986-03,49.3,21.3,1.95,13
1986-04,54.6,29,2.26,8
1986-05,64.4,30.6,1.45,T
1986-06,77.7,39.6,1.62,0
1986-07,77.9,44.2,3.27,0
1986-08,79.9,42.2,2.18,0
1986-09,M,M,M,M
1986-10,M,M,M,M
1986-11,M,M,M,M
1986-12,M,M,M,M
1987-01,M,M,M,M
1987-02,M,M,M,M
1987-03,45.2,15.7,1.74,23.3
1987-04,63.1,25,1.04,7
1987-05,67.4,37.1,3.02,T
1987-06,78.2,39,2.33,0
1987-07,82.1,43,2.52,0
1987-08,79.4,41.9,2.23,0
1987-09,75,32.6,0.64,0
1987-10,64.9,26.4,1.47,0
1987-11,42.9,17.5,2.05,20.5
1987-12,28.6,7.6,2.67,40.8
1988-01,24,1.8,3.68,77.5
1988-02,32.6,4.7,1.89,34.7
1988-03,39.9,14.3,1.9,27.5
1988-04,58.2,26.3,1.54,6
1988-05,67.8,33.6,2.1,3.5
1988-06,82.8,42.8,0.64,0
1988-07,86,44,0.36,0
1988-08,84.2,43.3,1.38,0
1988-09,73.5,33.6,1.31,0
1988-10,67.6,27.3,0.24,0
1988-11,40.5,19.7,3.45,23.5
1988-12,29.1,3.3,1.36,24.2
1989-01,25.5,-2.5,1.59,32.5
1989-02,29.2,3.5,2.38,35.5
1989-03,47.5,19.9,1.99,11
1989-04,61.3,29.6,0.89,9
1989-05,70.3,33.1,1.41,M
1989-06,75,36.3,1.17,0
1989-07,85.6,46.2,2,0
1989-08,79.5,43.1,1.68,0
1989-09,74,35.9,1.74,0
1989-10,60.3,25,1.34,3.5
1989-11,46.5,14.5,1.35,15.8
1989-12,27.1,0.1,3.6,52.2
1990-01,28,-1.8,1.11,16.3
1990-02,31.1,3.2,1.5,32.6
1990-03,46.5,21.2,1.51,9.8
1990-04,57.7,28,3.17,8.4
1990-05,63,29.3,1.61,0.6
1990-06,78.1,36.2,1.57,T
1990-07,79.5,41.6,2.21,0
1990-08,81.8,36.5,0.77,0
1990-09,76.1,36.2,2.17,0
1990-10,61.3,26.9,3.77,13.5
1990-11,45.3,14.3,2.02,23.3
1990-12,24.5,-4.2,1.46,30.8
1991-01,27.9,-2.5,2.32,42.4
1991-02,37.6,4.5,1.27,8
1991-03,41,16.3,3.06,34.2
1991-04,49.7,23.1,2.35,19.5
1991-05,64.6,31.5,2.02,1
1991-06,76.3,36.4,1.7,0
1991-07,81.3,40.2,1.78,0
1991-08,78.8,41.6,3.38,0
1991-09,71.5,31.7,0.97,0
1991-10,61.5,20.2,1,9
1991-11,38,15.4,3.55,35.8
1991-12,29,-1,0.77,13.3
1992-01,26.5,-5.2,1.71,23.5
1992-02,M,M,M,M
1992-03,50.7,23.3,1.02,9.1
1992-04,59.9,27.3,2.3,2
1992-05,67.9,34.8,3.76,0
1992-06,72,35.2,0.75,0
1992-07,77.9,39,3.09,0
1992-08,80.4,37.9,1.32,0
1992-09,71.1,31.4,1.66,0
1992-10,61.8,25.2,1.14,1.5
1992-11,33.2,9.9,1.71,19
1992-12,26,-3.3,2.56,41.5
1993-01,27.4,3.8,5.19,68.5
1993-02,30.1,7.7,3.59,51
1993-03,43.2,17.7,2.51,19.4
1993-04,48.5,23.5,3.68,20.5
1993-05,64.2,33.7,1.82,0
1993-06,71.9,36,2.25,0
1993-07,80.2,38.9,0.53,0
1993-08,79.8,40.4,1.37,0
1993-09,71.6,31.9,2.21,0
1993-10,M,M,M,M
1993-11,M,M,M,M
1993-12,29.4,4.2,1.69,28.5
1994-01,31.6,5.7,0.89,17.5
1994-02,32.8,4.4,1.82,20.2
