Date,f6_Yampa_maxt,f6_Yampa_mint,f6_Yampa_pcpn,f6_Yampa_snow
1980-02,37.6,11.3,1.05,18.5
1980-03,38.1,12.6,1.13,19
1980-04,49.8,20.7,0.47,8
1980-05,60,30.9,2.9,0
1980-06,75.3,38.3,0.1,0
1980-07,79.2,45.9,2.42,0
1980-08,74.8,42.4,1.35,0
1980-09,70.8,36.1,0.75,0
1980-10,56,25,1.23,12.5
1980-11,46.1,18.2,0.56,8.5
1980-12,44.5,18.5,0.51,9
1981-01,42.1,12.2,0.55,8.5
1981-02,39.4,9,0.49,13
1981-03,43,18.3,1.5,27
1981-04,58.8,28.9,0.6,9
1981-05,59.6,33.5,2.76,0
1981-06,75.4,39.7,1.54,T
1981-07,77.9,48.9,2.15,0
1981-08,76.2,43.6,0.8,0
1981-09,71.2,39.7,1.35,0
1981-10,53.2,27.1,2.3,10
1981-11,47.9,18,0.64,16.5
1981-12,35.3,13.1,2,45
1982-01,31.7,4.6,1.49,29
1982-02,33.3,3.3,0.34,0.5
1982-03,41.4,14.7,0.97,24.5
1982-04,50.3,15.4,1.34,11
1982-05,59.1,25.5,2.92,6.5
1982-06,69.8,34.5,1.39,0
1982-07,75.7,43,0.9,0
1982-08,76.1,46.7,1.05,0
1982-09,65.7,37.9,1.63,0.1
1982-10,53.8,23.7,1.07,7
1982-11,38.9,12.6,1.02,19.5
1982-12,34,8.7,0.66,17
1983-01,35.8,10.1,0.51,12.5
1983-02,37.9,12.3,0.72,13
1983-03,41.5,17.8,1.52,24.5
1983-04,44.3,19.4,0.81,3
1983-05,57.6,29.8,1.81,15
1983-06,67.2,37.1,1.91,0
1983-07,76,44.8,2.42,0
1983-08,77.5,47.4,1.72,0
1983-09,71.2,37.2,0.77,0
1983-10,59,27.8,0.95,3
1983-11,40.6,18.5,1.79,37
1983-12,28.7,7,3.17,59.7
1984-01,26.4,0.5,0.37,9.5
1984-02,32,0.5,0.17,6.5
1984-03,39.4,12.4,1,26
1984-04,43.8,17.9,1.77,28
1984-05,64.3,32.1,0.52,0.3
1984-06,68.2,37.6,2.65,1
1984-07,75.8,45.7,3.34,0
1984-08,74.6,45.2,1.75,0
1984-09,67.6,35.1,1.99,1
1984-10,48.1,22.5,1.63,15
1984-11,42.4,14.3,0.6,13
1984-12,33.6,7.9,0.97,21.5
1985-01,28,2.3,1.19,26
1985-02,26.1,-2.7,0.24,7.5
1985-03,42,15.8,0.62,15.5
1985-04,53.9,24.7,2.69,25
1985-05,62.9,33.3,1.55,4
1985-06,71.8,38.1,1.12,T
1985-07,75,46,3.41,0
1985-08,76.6,42.5,0.93,0
1985-09,63.8,32.8,1.76,T
1985-10,56.5,24.9,2.48,17
1985-11,37.7,15.4,2.98,44
1985-12,30.8,6.2,0.55,14.5
1986-01,36.4,9.7,0.54,10.5
1986-02,37,12.6,1.35,21.1
1986-03,48.1,21.1,0.39,5
1986-04,52,24.8,1.48,18
1986-05,61.7,29,0.21,3
1986-06,73.9,40.8,1.07,0
1986-07,73.4,43.7,2.49,0
1986-08,75.4,43.1,3.03,0
1986-09,62.8,34.3,1.77,3
1986-10,55,25.7,2.73,16
1986-11,40.6,15.4,0.66,17.5
1986-12,36.1,6.2,0.31,10.5
1987-01,32.3,2.6,0.84,16.5
1987-02,39.2,8.9,0.59,11
1987-03,41.6,9.5,0.62,24
1987-04,57.2,21,0.72,13
1987-05,60.5,34.9,1.53,T
1987-06,70.8,39.8,1.62,0
1987-07,74.3,44.3,1.79,0
1987-08,71.3,42.2,1.38,0
1987-09,67.3,36.1,0.31,0
1987-10,58.7,28.8,1.61,0
1987-11,40,16.4,1.23,12
1987-12,31.1,5.8,0.98,26
1988-01,27.5,3.2,1.58,36
1988-02,33.5,6.6,1.36,18
1988-03,38.4,14.2,2.08,25
1988-04,55,27.7,0.81,8
1988-05,63.3,33.9,1.6,5
1988-06,75.1,45.9,1.4,0
1988-07,76.9,45.6,1.05,0
1988-08,75.2,44.9,1.83,0
1988-09,65.6,34.7,2.12,3
1988-10,59.3,30.4,0.87,0
1988-11,36.9,18.3,1.75,24
1988-12,29,6.8,1.74,24
1989-01,27.9,4.3,0.7,9
1989-02,28.1,4.1,2.22,27
1989-03,45.8,20.9,3.13,14
1989-04,54.9,28.5,1.31,14
1989-05,63.5,33.2,1.12,T
1989-06,69,37.8,0.67,0
1989-07,77.9,46,1.7,0
1989-08,72.5,43.7,1.69,0
1989-09,68.6,37.3,1.16,1
1989-10,56.4,27.2,0.4,T
1989-11,41.9,18.8,2,30
1989-12,28,6.7,2.23,24.5
1990-01,32.2,8.7,1.12,10
1990-02,33,8.8,1.41,16.5
1990-03,41.8,21.6,1.73,13.5
1990-04,51,26.1,2.02,5
1990-05,60.9,30.8,1.07,T
1990-06,75.4,39.9,0.49,T
1990-07,73.9,45.9,3.17,0
1990-08,75.2,43.6,1.92,0
1990-09,70.1,40.8,1.4,0
1990-10,56.3,27.4,1.27,14
1990-11,41.3,19.8,1.93,22
1990-12,25.5,2.8,0.73,12
1991-01,27.5,5.5,2.12,19.5
1991-02,36.6,12.9,0.93,12
1991-03,37.9,17.3,2.23,28
1991-04,46.9,23.9,1.26,15
1991-05,63.1,32.7,2.04,2
1991-06,69.9,40.5,2.56,0
1991-07,73.8,45,3.11,0
1991-08,74.6,45.9,1.11,0
1991-09,66.7,36.9,1.65,1
1991-10,57.5,25.7,0.86,10
1991-11,37.2,16.8,1.26,24.5
1991-12,32,8.6,0.62,7
1992-01,29.7,5.2,1.36,14.5
1992-02,35.5,12.2,1.27,14
1992-03,43.6,21.4,1.6,15
1992-04,57.7,29.3,1.24,12
1992-05,63.9,35.6,2.23,0
1992-06,69.9,41,1.62,0
1992-07,74,46.5,1.93,0
1992-08,75.2,47.4,1.42,0
1992-09,70.9,41,0.93,T
1992-10,62.9,33.2,0.99,8
1992-11,35.5,15.6,1.01,18
1992-12,34.6,10.5,0.94,15
1993-01,36.5,11.3,2.25,21.5
1993-02,34.5,15.5,1.61,26
1993-03,43.2,22.1,1.43,16
1993-04,50.9,28,1.28,11
1993-05,63.7,38.5,0.95,0
1993-06,71.7,41.6,0.92,T
1993-07,77.1,43.5,0.37,0
1993-08,75,45.7,1.91,0
1993-09,69.7,38.9,0.85,0
1993-10,55.5,31.5,1.36,5
1993-11,38.6,14.2,2,31
1993-12,35.2,11.3,1.54,21
1994-01,M,M,M,M
1994-02,M,M,M,M
1994-03,M,M,M,M
1994-04,M,M,M,M
1994-05,M,M,M,M
1994-06,M,M,M,M
1994-07,M,M,M,M
1994-08,76.8,47.7,1.67,0
1994-09,69.5,38.5,0.51,0
1994-10,54.1,27.5,0.79,3.6
1994-11,37.1,13.8,0.98,16.3
1994-12,33.4,13.6,0.87,15.6
1995-01,29.2,7.6,0.74,24.5
1995-02,39.9,15.8,1.31,20.8
1995-03,41.1,18.2,1.23,25.2
1995-04,47.3,22.6,2.7,26.1
1995-05,53.4,30.6,3.47,5
1995-06,67.2,36.9,2.06,T
1995-07,73.9,44,1.7,0
1995-08,77.1,46.7,1,0
1995-09,67.5,37.4,2.04,T
1995-10,53.4,24.3,1.12,6
1995-11,44.8,21.5,1.97,30.3
1995-12,34.9,12.8,0.91,14.2
1996-01,28.2,7.6,2.89,68.6
1996-02,33.3,8.4,3.16,40.5
1996-03,38,16.5,0.8,10.8
1996-04,49,23.3,1.07,8
1996-05,63.9,34,1.58,T
1996-06,71.6,41.5,0.9,0
1996-07,77.4,46.5,0.55,0
1996-08,77.2,44,0.47,0
1996-09,64.5,36.3,2.98,2
1996-10,55.6,25.9,0.84,4.3
1996-11,38.5,17.6,2.16,27.2
1996-12,29.7,6.6,1.7,28.8
1997-01,31.3,5,2.09,39.6
1997-02,33.7,5,0.54,8.6
1997-03,44.1,15.7,0.56,9.5
1997-04,45.1,20.2,2.76,22
1997-05,59.5,33.3,1.85,3.5
1997-06,72.1,42.1,1.56,0
1997-07,76.1,45,2.03,0
1997-08,72.9,45.7,3.81,0
1997-09,67.6,40.3,3.9,0
1997-10,55.5,27.1,1.25,6.5
1997-11,38.8,15.9,0.69,9.5
1997-12,30.7,6.8,0.56,11.6
1998-01,34,8.9,1.61,26.5
1998-02,33.6,12.2,1.01,25.3
1998-03,37.6,11.9,1.75,24.3
1998-04,47.9,22.8,1.48,13.5
1998-05,63.7,33.1,0.15,0.5
1998-06,65.6,36.2,1.24,1.8
1998-07,77.9,48.6,1.49,0
1998-08,76.1,45.5,1.64,0
1998-09,73.7,39.9,1.38,0
1998-10,56.3,28,2.16,4
1998-11,44,20.9,0.86,8
1998-12,32.7,6.7,0.9,13.8
1999-01,32.9,12.2,1.75,32.7
1999-02,35.9,10.8,0.87,11.6
1999-03,47.1,19.7,0.74,7
1999-04,48.9,22.8,2.86,16.8
1999-05,57.8,29.5,1.58,7.6
1999-06,70.3,37.4,1.29,0
1999-07,78.7,47.4,3.61,0
1999-08,73.8,45.6,2.51,0
1999-09,64.8,33.5,0.93,T
1999-10,60.6,23.5,0.36,2.8
1999-11,52,19.6,0.3,2.3
1999-12,32.1,9,1.24,26.5
2000-01,33,12.4,1.3,24.5
2000-02,38.7,14.8,1.2,25.3
2000-03,43.5,17.6,1.71,27.4
2000-04,55.6,27.2,1.4,3.3
2000-05,63.3,34.3,1.19,3
2000-06,72.6,39.7,0.29,0
2000-07,80.7,46.7,0.84,0
2000-08,78.1,48.7,2.21,0
2000-09,69.9,37.1,1.6,1
2000-10,58.3,26,0.49,0
2000-11,31.2,6.7,0.89,23.7
2000-12,30.7,6.5,1.32,29.3
2001-01,29.5,4.1,0.68,17.2
2001-02,35,9.2,0.87,16.7
2001-03,41.1,18.5,1.79,24.9
2001-04,53.3,27.3,1.42,12.7
2001-05,62.9,33.4,1.82,11
2001-06,73.3,40.9,0.36,0.5
2001-07,80,49.3,1.62,0
2001-08,77.8,46.7,1.4,0
2001-09,71,39.2,1.53,3
2001-10,58.3,27.5,0.49,2
2001-11,46.4,18.9,0.95,8.2
2001-12,30.2,5.4,0.62,13.8
2002-01,28.8,5.2,0.85,18.6
2002-02,31,0.9,0.88,18.5
2002-03,37.9,9.6,0.93,18
2002-04,57.3,26,0.57,4.9
2002-05,63,31,0.39,1
2002-06,78,41.6,0.05,0
2002-07,82.5,48.2,1.38,0
2002-08,76.5,43.9,1.95,0
2002-09,67.7,38.8,2.05,0
2002-10,53,25.1,1.25,5.7
2002-11,35,13.9,1.98,37.7
2002-12,31.8,9.6,0.48,13.6
2003-01,35.5,14.1,0.66,10.5
