Date,f8_Hayden_maxt,f8_Hayden_mint,f8_Hayden_pcpn,f8_Hayden_snow
1980-02,36.5,14.2,1.63,20
1980-03,40.6,16.2,1.83,30.5
1980-04,56.7,25.3,0.73,2
1980-05,66.5,36.7,2.34,T
1980-06,83.3,42.2,0.02,0
1980-07,88.5,49.4,0.79,0
1980-08,82.9,45.8,1.92,0
1980-09,76.1,39.7,0.9,0
1980-10,61.8,28.5,1.09,5.5
1980-11,51,22.2,0.33,1.7
1980-12,48.3,20.5,0.43,6
1981-01,46,15.5,0.53,9
1981-02,43.6,14,0.45,9.5
1981-03,49.5,24.4,2.5,26.5
1981-04,65.1,30.1,0.69,3
1981-05,65.1,37.5,3.97,2
1981-06,82.7,43.4,1.65,T
1981-07,86.8,50.3,2.24,0
1981-08,85.4,48,1.12,0
1981-09,78.8,42.7,1.33,0
1981-10,57.7,30.5,3.76,8
1981-11,50.4,22.8,0.78,11.5
1981-12,36.7,13.9,2.51,41
1982-01,31.1,5.8,1.71,36
1982-02,33.1,6.5,0.4,7.5
1982-03,46.2,21.8,1.99,23.5
1982-04,56.2,23.4,1.32,11.5
1982-05,65.7,36,1.07,T
1982-06,78.3,41.2,0.79,0
1982-07,85.3,48.9,2.04,0
1982-08,86.1,51.5,1.86,0
1982-09,71.8,42.6,2.57,0
1982-10,57,29.2,1.94,9
1982-11,41.4,15.7,1.34,19
1982-12,30.6,10.1,0.79,15
1983-01,34.1,10.6,1.06,17.5
1983-02,37.4,14.1,1.02,17.5
1983-03,44.3,23.5,1.34,13
1983-04,50.6,25.2,1.58,9
1983-05,63.7,34.1,2,5
1983-06,75.1,42.7,1.88,0
1983-07,84.5,49.4,3.1,0
1983-08,87.9,52.2,0.81,0
1983-09,78.2,41.3,1.05,0
1983-10,64.2,31.9,2.31,3
1983-11,43.7,22,2.62,24.5
1983-12,27.1,8.9,5.11,74.5
1984-01,23.8,-1.2,0.75,14
1984-02,31.1,6,0.67,9.3
1984-03,39.6,17.3,1.62,18.5
1984-04,49,24.5,2.17,15
1984-05,70.7,37.8,1.02,1
1984-06,75.9,43.1,2.81,T
1984-07,87.1,50.9,3.1,0
1984-08,82.7,50.1,1.37,0
1984-09,73.8,40.4,2.24,4
1984-10,52,28.3,2.71,24
1984-11,44.9,21.2,1.53,18.5
1984-12,29.3,8.6,1.41,18.5
1985-01,23.9,1.3,1.5,28.5
1985-02,26.6,2.8,0.75,12.5
1985-03,42.3,20.1,1.79,18
1985-04,59.5,29.9,3.31,21.5
1985-05,68.7,38.2,0.9,0
1985-06,78.4,42.8,0.73,0
1985-07,83.1,51.5,1.26,0
1985-08,83.4,46.6,0.97,0
1985-09,68.6,38,1.34,T
1985-10,58.9,29.6,3.62,21
1985-11,38.7,19.9,3.71,47.5
1985-12,27.1,5.8,1.23,21
1986-01,32.2,9.5,0.99,14
1986-02,37.5,18.6,2.62,22
1986-03,56.1,26.9,2.01,19
1986-04,56.4,31.5,1.93,10
1986-05,66.4,34.6,1.33,2
1986-06,80.6,47.3,0.9,0
1986-07,80.1,49,2.13,0
1986-08,82.4,48.2,1.91,0
1986-09,67.7,38.9,2.43,0.7
1986-10,59.6,30.4,2.57,6.5
1986-11,43.1,23,1.16,8.5
1986-12,39.5,13.9,0.31,2.5
1987-01,31.1,8.1,1.32,20.3
1987-02,38.5,17.1,1.2,12.8
1987-03,45,19,1.03,14
1987-04,64.2,30.4,0.99,7
1987-05,67.2,38.9,1.63,0.7
1987-06,79.4,43.9,0.34,0
1987-07,83.1,48,2.57,0
1987-08,80,46.2,1.49,0
1987-09,75.4,37.3,0.26,0
1987-10,65.5,30,1.11,0
1987-11,46,21.7,1.07,5
1987-12,32.5,10.3,1.87,28.5
1988-01,24.8,5.3,2.41,46
1988-02,31.4,9,0.42,9
