Date,f9_Craig_maxt,f9_Craig_mint,f9_Craig_pcpn,f9_Craig_snow
1980-02,36,14.8,1.38,14.5
1980-03,40.5,19.3,2.69,27
1980-04,54.1,26.7,0.54,1.6
1980-05,62.9,37.9,2.53,T
1980-06,80.3,43.2,0.43,0
1980-07,87.2,50.1,0.63,0
1980-08,82.7,46.8,1.83,0
1980-09,74.2,40.2,0.75,0
1980-10,60,28.5,1.5,3.7
1980-11,48.3,20.3,0.38,2
1980-12,44.6,18.3,0.51,4.2
1981-01,44.4,14.8,0.28,4.3
1981-02,41.2,12.8,0.6,8.8
1981-03,46.4,23.9,2.26,22.3
1981-04,61.1,32.1,0.78,2.5
1981-05,62.2,37.6,3.95,T
1981-06,79.4,45,1.31,T
1981-07,84.2,50.6,1.61,0
1981-08,83.4,49.2,0.19,0
1981-09,77.4,43.1,1.33,0
1981-10,55.8,28.6,4.52,1.5
1981-11,48.5,20.9,0.62,6.6
1981-12,38.2,10.1,0.91,10.9
1982-01,31.6,-1.3,1.56,22.5
1982-02,34.2,5.8,0.44,5.5
1982-03,45.3,21.3,2.04,20.2
1982-04,52,21.6,1.87,10
1982-05,63,33.8,1.11,T
1982-06,75,41.4,0.73,T
1982-07,83.5,49,1.28,0
1982-08,83.9,51.4,1.24,0
1982-09,70.3,41.6,3.05,T
1982-10,54,27.3,1.79,6.5
1982-11,39.7,15.5,2.21,12.1
1982-12,32.3,9.8,0.6,9
1983-01,35,10.4,0.58,8.3
1983-02,36.7,12.2,1.2,10.2
1983-03,42.4,23.3,1.8,23
1983-04,48.4,24.6,2.93,9
1983-05,60.4,32.9,1.59,4
1983-06,72.1,42.5,2.98,T
1983-07,82.4,49.5,2.44,0
1983-08,85.1,52.8,1.71,0
1983-09,77.1,39.4,0.69,0
1983-10,60.8,31,3.07,0.5
1983-11,42.3,20.3,2.63,17.7
1983-12,27.6,7.6,3.35,42
1984-01,22.2,-4.2,0.85,13
1984-02,28.2,3.2,0.7,8
1984-03,37.2,15.4,2.19,18
1984-04,48.1,22.4,2.18,16
1984-05,67.6,37.3,1.16,1
1984-06,72,41.1,2.98,T
1984-07,83.1,49.8,2.42,0
1984-08,80.7,49.7,2.43,0
1984-09,71,38.6,2.51,5
1984-10,50.8,27,2.08,17.7
